"TZ152" "TZ154" "TZ155" "TZ156" "TZ158" "TZ159" "TZ160" "TZ164" "TZ170" "TZ171" "TZ173" "TZ178" "TZ179" "TZ181" "TZ184" "TZ188" "TZ189" "TZ191" "TZ194" "TZ195" "TZ196" "TZ198" "TZ201" "TZ208" "TZ211" "TZ214" "TZ216" "TZ217" "TZ218" "TZ220" "TZ222" "TZ224" "TZ226" "TZ227" "TZ228" "TZ229" "TZ230" "TZ231" "TZ232" "TZ233" "TZ234" "TZ235" "TZ236" "TZ237" "TZ239" "TZ240" "TZ241" "TZ242" "TZ243" "TZ244" "TZ245" "TZ246" "TZ247" "TZ253" "TZ256" "TZ257" "TZ258" "TZ259" "TZ260" "TZ261" "TZ262" "TZ263" "TZ266" "TZ268" "TZ269" "TZ270" "UG101" "UG102" "UG103" "UG104" "UG105" "UG107" "UG110" "UG112" "UG114" "UG116" "UG117" "UG118" "UG119" "UG122" "UG123" "UG124" "UG125" "UG126" "UG127" "UG128" "UG129" "UG13" "UG134" "UG135" "UG136" "UG137" "UG139" "UG140" "UG141" "UG143" "UG144" "UG145" "UG146" "UG147" "UG148" "UG149" "UG15" "UG150" "UG155" "UG158" "UG161" "UG162" "UG164" "UG165" "UG166" "UG168" "UG171" "UG172" "UG173" "UG174" "UG176" "UG177" "UG178" "UG179" "UG180" "UG181" "UG182" "UG183" "UG184" "UG185" "UG186" "UG187" "UG188" "UG189" "UG190" "UG191" "UG192" "UG193" "UG194" "UG195" "UG196" "UG197" "UG198" "UG20" "UG200" "UG22" "UG25" "UG30" "UG31" "UG34" "UG36" "UG40" "UG42" "UG45" "UG49" "UG5" "UG55" "UG65" "UG68" "UG73" "UG77" "UG81" "UG84" "UG89" "UG92" "UG94" "UG97" "UG99"
"BBrMV" 1 1 9 0 0 0 0 1 4 0 17 6 0 0 1 0 5 0 0 0 2 0 1 0 1 2 6 1 0 0 0 8 1 0 0 0 0 0 1 5 4 17 0 0 2 2 2 0 0 0 0 0 9 5 4 1 0 6 1 1 0 3 4 0 1 6 1 1 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 2 1 1 3 0 0 0 0 3 1 0 0 1 0 0 11 0 0 2 1 0 0 0 1 0 0 0 0 3 1 0 2 0 1 1 1 3 0 2 25 3 29 2 0 1 0 0 0 0 10 0 4 1 0 11 0 0 1 1 9 0 0 0 0 0 0 0 0 0 0
"BBWV-1" 0 0 0 0 1 0 0 0 0 0 1 2 0 0 3 0 1 0 0 3 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 2 0 0 0 0 0 9 2 0 0 0 0 1 1 0 0 0 3 0 7 5 0 0 0 3 0 0 0 2 0 0 1 0 0 1 0 0 2 0 3 1 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 0 0 1 0 0 1 18 0 0 0 0 1 2 0 0 0 0 0 1 1 4 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 4 1 0 0 0 0 0 7 0 0 0 0 2 0 0 2 0 1 0
"BCMV" 0 6 3 4 0 4 4 3 1 2 1 0 1 4 0 5 2 12 0 0 1 1 0 3 6 3 0 6 6 3 17 1 1 3 5 1 1 2 11 2 2 0 5 1 2 1 3 1 1 2 1 1 1 10 4 1 2 2 2 1 0 2 2 2 1 3 1 0 1 0 2 12 0 0 1 2 0 1 1 13 0 5 0 2 1 1 3 4 1 7 1 0 0 0 2 2 0 2 2 2 0 0 1 0 0 0 1 13 1 10 10 9 1 1 0 1 9 1 0 0 1 3 1 1 4 4 1 1 12 1 2 2 1 1 1 11 6 1 2 5 4 0 2 1 0 3 1 1 1 0 10 2 2 4 3 1 0 2 13 0 2 6 0 4
"BgV" 0 19 1 3 1 3 0 2 0 1 0 0 0 0 2 3 2 5 0 0 1 2 3 1 6 0 6 3 1 1 10 0 13 4 2 0 2 3 7 1 1 0 7 0 2 4 13 0 1 1 0 2 1 1 1 1 5 2 2 2 0 7 1 1 0 6 0 1 1 0 2 9 0 2 1 2 0 1 2 20 0 1 0 4 0 1 5 4 1 19 0 0 0 0 0 0 0 5 3 0 0 0 1 1 0 0 1 1 15 4 12 7 2 2 2 1 6 1 1 1 1 2 0 1 5 1 2 1 8 1 2 1 0 1 1 2 1 1 4 8 4 0 3 2 1 2 0 2 0 5 8 1 1 4 2 19 1 2 9 0 2 6 0 1
"BSV" 1 8 2 7 1 0 0 1 0 1 2 1 1 2 1 11 4 4 1 0 1 1 1 18 8 3 2 3 5 3 15 0 1 4 3 2 1 7 10 12 9 1 8 1 4 2 0 1 0 2 2 2 2 10 5 1 11 9 1 7 0 1 8 2 6 7 1 1 1 1 1 8 0 0 1 2 1 1 6 15 1 10 1 3 5 3 2 1 1 10 0 0 0 1 1 1 0 8 4 0 1 0 1 2 0 2 4 19 3 4 6 15 1 1 0 8 4 2 1 2 1 23 18 1 9 2 6 1 1 1 1 1 0 3 4 10 20 1 13 10 3 1 1 1 2 2 5 2 1 1 7 4 2 3 1 2 1 1 11 0 6 9 1 8
"BYMV" 2 11 0 8 1 1 0 1 0 7 1 0 0 2 0 3 5 17 0 0 0 1 1 11 4 3 1 3 1 0 10 1 2 0 0 2 0 1 11 3 2 1 7 0 11 3 6 1 0 0 3 1 0 1 2 0 2 3 6 2 1 1 3 2 1 3 1 0 2 0 0 8 0 1 0 1 0 2 1 13 0 1 0 4 0 2 2 0 2 7 0 0 0 0 0 1 0 2 8 1 0 1 1 1 0 0 1 4 6 3 2 1 2 0 0 0 9 1 1 0 1 5 0 2 1 0 2 2 11 1 1 1 0 1 1 3 1 0 1 0 7 1 0 2 0 4 0 1 1 2 3 3 1 2 3 6 0 0 12 0 1 5 0 1
"CABMV" 1 2 1 1 0 1 0 2 1 3 5 0 0 0 1 5 1 0 9 0 0 3 1 1 2 5 41 0 0 1 0 0 2 1 0 3 1 3 14 1 4 6 0 0 0 0 1 2 2 2 1 4 1 1 0 11 2 2 3 8 0 4 0 1 0 1 1 1 0 0 0 0 0 0 2 3 0 1 3 0 0 18 2 0 1 1 0 0 1 0 0 0 0 0 2 1 3 2 0 0 3 0 0 1 1 0 1 2 19 1 0 0 2 0 1 0 0 1 0 0 1 1 2 1 4 1 2 0 4 0 0 2 1 9 1 3 2 0 2 0 2 3 0 1 0 2 1 0 3 0 2 0 0 0 1 0 0 1 0 0 2 0 0 0
"CarVY" 0 0 1 7 1 0 0 0 0 0 0 0 0 0 13 1 15 0 8 0 0 0 0 1 0 0 0 0 4 1 6 0 7 2 0 0 0 7 0 9 2 0 0 0 1 2 5 3 0 0 2 3 0 0 1 6 4 8 3 0 0 0 0 2 0 4 0 0 0 1 0 0 0 0 1 0 0 4 0 1 0 5 3 1 0 0 2 0 1 0 0 0 1 0 0 0 2 1 3 1 0 0 0 0 0 0 1 2 3 0 14 7 0 2 2 0 0 1 0 1 0 60 0 0 0 1 0 2 6 3 1 0 2 0 0 0 0 0 2 0 3 3 2 3 0 3 2 0 0 0 1 3 1 2 0 3 0 0 0 0 4 1 2 12
"CatMV" 2 0 39 0 0 6 0 1 0 13 5 1 0 3 3 2 1 2 0 1 0 0 0 0 7 5 3 0 7 1 7 0 33 3 2 1 7 1 9 7 7 0 0 0 0 0 2 1 4 3 4 0 0 1 0 0 0 16 7 1 0 0 0 0 2 3 0 1 0 3 0 7 2 0 1 11 0 6 7 41 0 21 0 2 0 0 1 1 2 0 0 0 0 1 1 1 0 1 4 1 0 0 0 0 0 0 1 7 34 0 47 4 0 0 1 0 12 0 29 0 1 6 3 1 4 0 0 0 29 3 0 0 2 1 4 15 7 0 0 0 0 0 0 0 0 1 0 6 0 1 0 30 1 1 0 1 0 0 0 1 3 7 0 0
"CaYMV" 0 0 0 12 1 0 0 0 1 2 4 0 1 2 1 0 2 18 0 0 0 1 4 3 1 0 3 0 0 0 34 0 1 1 0 2 2 0 10 1 3 0 0 0 4 0 0 1 1 3 0 5 0 0 0 0 0 24 5 0 0 3 1 1 1 1 0 1 0 1 0 6 0 0 1 1 0 1 2 0 0 5 0 1 0 0 2 0 1 0 0 0 1 0 0 0 5 0 0 0 5 0 0 1 1 0 0 1 8 0 1 10 8 1 0 0 0 0 2 1 0 5 0 2 2 3 0 0 1 1 1 1 1 25 1 2 0 0 0 0 3 0 0 1 0 1 0 1 0 4 1 0 0 12 0 6 0 0 53 0 2 3 0 0
"CeMV" 0 0 1 0 0 1 0 1 0 10 0 6 1 3 1 9 3 0 5 0 0 0 0 6 2 0 0 0 1 0 0 0 0 1 1 0 1 0 3 0 3 1 0 0 0 5 1 0 0 2 3 0 10 3 0 1 8 3 11 8 1 1 0 1 2 1 0 0 1 0 1 3 0 1 0 1 0 0 0 2 0 2 0 1 0 0 0 0 3 0 0 0 0 1 0 0 2 0 0 3 0 0 1 0 0 0 1 1 1 12 0 3 0 0 0 0 5 1 0 0 1 0 0 26 2 1 0 1 3 1 2 0 1 0 8 0 0 5 0 0 28 2 0 1 1 2 3 0 0 0 13 0 3 0 8 3 0 2 0 0 2 2 0 10
"CHPV" 0 0 1 1 1 0 2 0 1 0 1 0 0 1 4 0 0 1 4 0 0 0 0 6 0 0 0 3 15 0 15 0 2 0 1 0 1 1 5 6 0 1 3 0 1 0 0 2 1 18 0 0 0 5 0 4 0 0 0 28 0 0 1 14 2 0 1 2 0 1 0 0 0 0 0 2 0 0 2 0 0 0 0 1 0 0 0 0 7 0 4 0 0 0 4 4 1 2 0 0 0 0 3 0 0 1 8 6 0 14 3 3 1 0 0 0 4 0 0 1 1 6 1 0 0 1 0 0 3 0 0 11 0 4 1 5 2 5 0 0 0 3 0 1 0 11 4 0 0 0 6 1 1 1 2 3 0 0 0 1 4 8 0 0
"CLNV" 1 8 5 1 0 0 0 1 0 4 3 1 1 0 0 0 2 11 0 1 1 1 0 0 0 1 1 4 1 5 9 0 2 1 0 1 1 1 1 3 0 0 0 2 2 0 1 0 0 0 2 4 1 12 1 3 0 1 3 1 0 1 1 1 2 2 0 1 3 0 0 5 0 2 0 1 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 3 0 0 0 1 0 0 1 0 10 12 0 8 3 0 0 0 2 2 0 0 0 0 0 0 8 1 1 0 5 1 4 0 2 2 1 5 1 0 0 0 4 0 0 0 0 1 4 1 0 0 15 1 3 3 0 2 2 1 60 0 1 0 0 1
"CmV" 0 4 3 11 0 1 1 1 0 2 1 0 0 4 1 2 1 11 1 1 0 0 2 1 14 2 2 3 3 1 31 1 5 1 5 2 7 1 1 1 19 1 3 2 4 2 3 1 0 1 1 1 0 2 5 2 2 1 3 5 0 1 1 5 0 8 1 0 1 1 0 29 1 1 0 2 1 8 1 2 0 24 0 1 1 1 1 3 2 6 0 0 0 0 0 2 1 1 1 1 1 0 0 0 1 0 3 6 5 3 16 2 4 3 1 0 4 2 2 0 0 2 7 1 2 3 8 0 4 1 1 1 1 2 1 2 8 2 1 2 6 1 3 1 0 9 0 2 1 1 6 2 0 13 6 8 0 1 17 1 1 1 0 24
"CMV" 1 10 2 4 0 1 1 0 1 6 8 4 0 3 2 2 2 7 1 5 0 4 9 11 2 1 9 3 3 0 3 1 10 2 1 3 6 6 6 3 10 1 5 0 1 3 1 1 0 4 3 5 2 2 7 7 1 3 2 4 1 1 10 5 4 2 1 2 1 0 0 2 1 0 1 1 1 8 4 16 1 18 0 2 0 0 1 2 4 3 0 0 1 0 0 3 2 1 2 1 0 1 0 2 1 1 1 6 14 6 8 1 1 2 0 1 3 3 1 2 1 6 3 1 2 4 2 0 1 3 1 5 2 11 3 2 11 8 1 3 3 1 6 1 2 9 4 1 1 3 10 1 0 1 12 6 1 0 36 2 6 8 1 28
