Samples,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
TZ152,39,0.506493506,0.174349375,-0.021170529,0.73006135,0.786184211,0.5,0.14379804,0.0053492,1,0.00617284,0,0.006097789,0.002700062,37.14151887,3.525596319,33.97402695,0.4850908,0.547341798,0.101726638
TZ154,54,0.701298701,0.570576769,-0.007952282,0.392638037,0.867728532,0.302631579,0.155409288,0.018292691,1,0.00617284,0,0.006097789,0.007407905,23.52845384,3.608479542,36.90989019,0.527009888,0.546464575,0.132623571
TZ155,61,0.792207792,0.620308179,-0.006224456,0.098159509,0.92618742,0.210526316,0.212369136,0.026263242,1,0.00617284,0,0.006097789,0.009071028,24.49688795,3.471034107,32.16999246,0.459332283,0.567718184,0.138347135
TZ156,54,0.701298701,0.712798882,-0.005318539,0.386503067,0.95255745,0.302631579,0.233581476,0.044483299,1,0.00617284,7.20E-05,0.006097789,0.011252939,18.42251733,3.37505615,29.22592477,0.417296049,0.553271201,0.171094145
TZ158,47,0.61038961,0.360433894,-0.013607789,0.595092025,0.887061404,0.394736842,0.171348366,0.017416978,1,0.00617284,0,0.006097789,0.004041512,29.66146254,3.517134291,33.6877507,0.481003266,0.535325099,0.157226072
TZ159,39,0.506493506,0.124144012,-0.022457846,0.748466258,0.888157895,0.5,0.16827479,0.004511445,1,0.00617284,0,0.006097789,0.002356004,54.43940512,3.460876915,31.84488952,0.454690371,0.585077717,0.082345993
TZ160,49,0.636363636,0.334385791,-0.013583963,0.552147239,0.888157895,0.368421053,0.161658737,0.012019763,1,0.00617284,0,0.006097789,0.004056922,32.58526903,3.569221842,35.48896637,0.506721535,0.547958145,0.132740789
TZ164,55,0.714285714,0.348012267,-0.011854322,0.36196319,0.924185464,0.289473684,0.181846951,0.014308023,1,0.00617284,0,0.006097789,0.00516972,32.93797142,3.587023771,36.12639533,0.515822926,0.590952956,0.116453887
TZ170,39,0.506493506,0.267332474,-0.018786347,0.736196319,0.91374269,0.5,0.182464013,0.01442249,1,0.00617284,0,0.006097789,0.002396524,38.04579221,3.408638905,30.2240784,0.43154797,0.487371071,0.179519723
TZ171,57,0.74025974,0.662257458,-0.005925308,0.27607362,0.930451128,0.263157895,0.188983806,0.037174684,1,0.00617284,0,0.006097789,0.008595947,22.34927332,3.559896553,35.1595598,0.502018174,0.588033909,0.149993524
