"GU-S001" "GU-S021" "GU-S025" "GU-S027" "GU-S045" "GU-S060" "GU-S061" "GU-S062" "GU-S063" "GU-S065" "GU-S066" "GU-S068" "GU-S070" "GU-S072" "GU-S073" "GU-S074" "GU-S075" "GU-S076" "GU-S077" "GU-S090" "GU-S092" "GU-S093" "GU-S094" "GU-S095" "GU-S096" "GU-S097" "GU-S098" "GU-S099" "GU-S100" "GU-S102" "GU-S104"
"BCMV" 31 1 1 1 8 1 1 1 9 2 0 0 37 4 1 1 3 1 55 2 3 0 1 0 7 27 3 4 0 1 0
"BgV" 3 1 0 4 2 0 8 1 17 0 1 1 0 11 1 2 6 0 4 1 0 1 0 0 0 5 0 3 0 0 1
"BSV" 12 0 0 0 0 1 2 1 2 1 1 0 35 26 2 0 6 2 2 33 5 1 2 21 19 4 2 38 1 0 3
"CatMV" 0 0 0 0 0 0 0 0 27 1 0 0 0 0 2 1 2 8 0 1 2 1 0 0 0 0 0 0 20 0 0
"CaYMV" 4 0 1 2 1 54 2 0 0 3 0 0 16 0 1 2 1 0 28 0 0 0 0 0 0 2 0 3 0 0 1
"CHPV" 0 0 0 0 7 0 0 1 0 0 0 2 0 0 0 0 16 6 0 1 14 3 1 0 0 0 0 0 0 0 4
"CLNV" 10 0 1 1 1 0 5 11 0 0 1 0 0 0 1 0 20 4 0 0 0 0 6 0 16 0 0 0 0 0 0
"CmV" 2 0 1 1 13 1 2 0 13 1 0 3 35 21 1 0 8 2 11 7 3 0 8 35 3 6 2 2 2 1 2
"CMV" 3 0 0 2 4 1 0 1 6 0 3 2 26 3 2 0 2 6 24 2 2 0 4 47 10 9 7 2 3 0 0
"CoSMV" 27 0 0 3 0 0 1 0 1 1 1 2 1 0 0 0 25 0 0 0 1 0 0 0 118 8 3 1 0 0 1
"CSSV" 0 0 0 1 3 1 1 1 4 5 1 1 0 0 0 1 12 6 0 3 11 1 11 0 0 0 1 0 0 1 5
"DBV" 4 1 1 0 9 1 1 1 1 1 1 5 104 3 0 3 5 1 0 0 1 1 5 4 1 20 4 2 0 0 2
"GLRaV-1" 6 0 4 1 2 0 0 0 2 0 1 0 4 0 0 7 3 0 13 4 3 0 4 0 5 15 0 0 0 3 3
"IYVV" 8 0 10 3 3 0 3 0 3 2 2 3 9 2 2 1 6 4 2 2 12 1 1 22 2 4 11 29 2 0 1
"LMV" 0 0 0 0 1 1 2 0 36 1 2 1 0 0 0 2 0 6 4 0 0 1 2 0 1 1 2 0 0 0 0
"MeLCV" 1 0 1 2 6 0 0 3 3 1 0 1 3 8 1 2 1 1 1 0 11 2 2 0 8 2 15 118 0 1 1
"PtV" 6 0 2 1 1 0 1 0 0 0 0 0 8 0 0 1 2 0 147 3 6 0 4 0 1 48 0 0 0 1 3
"PVY" 13 0 1 2 0 0 4 2 13 1 0 2 0 8 2 0 1 5 1 1 2 0 0 0 17 5 0 7 1 0 4
"SPBgV" 21 1 1 1 5 1 1 0 2 0 1 2 25 0 0 0 2 0 1 2 3 1 2 1 23 0 1 0 0 2 1
"SPC6V" 18 1 1 0 5 1 2 1 4 1 3 1 4 0 0 0 7 6 14 3 3 1 1 6 8 10 0 27 1 0 2
"SPCFV" 8 0 3 2 1 1 3 1 5 0 1 2 19 13 1 0 21 3 4 1 1 0 3 89 10 4 1 16 0 4 3
"SPCSV" 2 0 1 1 13 1 2 0 13 1 0 3 35 21 1 0 8 2 11 7 3 0 8 35 3 6 2 2 2 1 2
"SPCV" 2 0 0 2 5 2 0 1 6 1 4 2 25 3 2 1 2 6 24 4 2 0 4 5 10 10 1 2 5 1 0
"SPFMV" 15 0 0 7 3 0 1 0 1 2 1 3 3 9 1 0 23 3 10 1 7 1 1 60 17 27 3 3 2 0 1
"SPGVaV" 16 0 0 3 2 1 3 1 4 5 1 1 5 5 0 1 8 5 2 2 5 0 8 2 10 7 16 8 4 1 3
"SPLCV" 3 1 1 1 6 2 3 1 2 2 1 2 30 7 0 3 5 1 4 1 1 1 4 61 2 10 5 3 2 1 1
