Sample,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
GU-S001,34,0.871794872,2.208521111,0.035544739,0.1,0.777511962,0.131578947,0.173890351,0.111661966,1,0,0.033942559,0.032258065,0.052844129,9.714031459,3.135456168,22.99912492,0.637096183,0.572874761,0.168399436
GU-S021,11,0.282051282,0.097101973,-0.082081639,1,0.855263158,0.736842105,0.277350098,0.00976358,1,0,0,0.032258065,0.003025617,33.81517754,2.351673302,10.50312994,0.290946026,0.284909315,0.115137893
GU-S025,25,0.641025641,0.368710172,-0.025251593,0.7,0.889473684,0.368421053,0.220988761,0.026889529,1,0,0,0.032258065,0.011266378,18.92063704,2.938526783,18.88799968,0.523214363,0.584000433,0.142298794
GU-S027,32,0.820512821,0.583536363,-0.013014489,0.3,0.773026316,0.184210526,0.145900595,0.027618616,1,0,0,0.032258065,0.015326619,20.54126956,3.261948419,26.10034203,0.72300265,0.665534677,0.096891599
GU-S045,33,0.846153846,1.012632461,0.000382802,0.2,0.748987854,0.157894737,0.154714079,0.045644655,1,0,0,0.032258065,0.025887521,13.80018125,3.209511203,24.76697725,0.686067262,0.618201518,0.120315125
GU-S060,23,0.58974359,0.655221213,-0.014990382,0.866666667,0.986354776,0.421052632,0.651822378,0.297429699,1,0,0,0.032258065,0.017183482,10.61965963,1.678391141,5.356930491,0.148391731,0.357261885,0.497962125
GU-S061,31,0.794871795,0.582374528,-0.013471789,0.4,0.805921053,0.210526316,0.15263261,0.032922662,1,0,0,0.032258065,0.012649244,22.39537144,3.230779806,25.29937788,0.700815232,0.609301617,0.127521711
GU-S062,22,0.564102564,0.367836804,-0.028734691,0.9,0.933014354,0.447368421,0.291582309,0.048993697,1,0,0,0.032258065,0.00801313,20.88464391,2.724993526,15.25631516,0.422613477,0.48436209,0.224005768
GU-S063,34,0.871794872,2.689244805,0.049683671,0.133333333,0.804824561,0.131578947,0.179582906,0.175719728,1,0,0.067885117,0.032258065,0.050318106,9.824397565,3.125053214,22.76110626,0.630502854,0.573622814,0.231263496
GU-S065,29,0.743589744,0.450166782,-0.018959766,0.533333333,0.726315789,0.263157895,0.15048802,0.023019512,1,0,0,0.032258065,0.011160065,23.62545112,3.20284034,24.60230997,0.681505832,0.622181444,0.11179734
GU-S066,26,0.666666667,0.295407779,-0.027099701,0.666666667,0.789473684,0.342105263,0.161090944,0.014774815,1,0,0,0.032258065,0.007457021,42.00224363,3.130859653,22.89365169,0.634174481,0.581528438,0.107584683
GU-S068,29,0.743589744,0.457235029,-0.018716033,0.5,0.715789474,0.263157895,0.130478929,0.018326593,1,0,0,0.032258065,0.011802552,22.57207006,3.25928612,26.03094754,0.721080361,0.647174694,0.094004641
GU-S070,31,0.794871795,3.33941371,0.075464958,0.333333333,0.889423077,0.210526316,0.220157925,0.225092516,1,0,0.362924282,0.032258065,0.099723947,7.141961191,2.97196958,19.53034832,0.541007991,0.574962919,0.231197893
GU-S072,26,0.666666667,1.920132948,0.035389729,0.633333333,0.925808497,0.342105263,0.279489421,0.169020111,1,0,0,0.032258065,0.060448585,6.706678796,2.765202938,15.88226278,0.439952782,0.538054585,0.249012477
GU-S073,24,0.615384615,0.300896283,-0.029129322,0.766666667,0.776315789,0.394736842,0.16210904,0.015722494,1,0,0,0.032258065,0.007920637,27.96947522,3.076595013,21.68444132,0.600678279,0.562506372,0.118287532
GU-S074,25,0.641025641,0.377805105,-0.024887796,0.733333333,0.857142857,0.368421053,0.19245009,0.02533704,1,0,0,0.032258065,0.009246729,23.16088964,3.018611762,20.46286463,0.566839521,0.565205142,0.143915915
GU-S075,38,0.974358974,2.281141138,0.03371424,0,0.728421053,0.026315789,0.141725815,0.100534286,1,0,0.281984334,0.032258065,0.045955753,11.81119149,3.313605896,27.48405165,0.761332635,0.646035204,0.134315761
GU-S076,31,0.794871795,1.072760751,0.002347121,0.366666667,0.802631579,0.210526316,0.154156753,0.054913929,1,0,0,0.032258065,0.020601791,13.62116835,3.202507902,24.5941326,0.681279312,0.55041203,0.161900748
GU-S077,30,0.769230769,2.751112192,0.058370406,0.433333333,0.945220193,0.236842105,0.346609076,0.312158444,1,0,0.018276762,0.032258065,0.068336498,7.220631188,2.545713616,12.7523251,0.353250729,0.441525593,0.371917921
GU-S090,32,0.820512821,0.887788049,-0.003506623,0.266666667,0.922647528,0.184210526,0.277131051,0.071981187,1,0,0,0.032258065,0.025043351,13.56237393,2.848607633,17.26372765,0.478220586,0.518737047,0.194858481
GU-S092,34,0.871794872,1.328155524,0.009651633,0.166666667,0.747368421,0.131578947,0.157721848,0.073191109,1,0,0,0.032258065,0.028166242,13.25878783,3.215526299,24.91640195,0.690206459,0.613614541,0.149323343
