Virus,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,
SPLCV,30,0.967741935,0.87657734,-0.004114089,0,0.942076503,0.387821834,0.033333333,1,1,0,0,0.025641026,0.024010213,10.66504148,2.430072533,11.35970601,0.620757429,0.557541949,0.11061192
SPVE,29,0.935483871,0.891673843,-0.003735385,0.026315789,0.795238095,0.218357505,0.066666667,1,1,0,0,0.025641026,0.023334915,10.70593678,2.829358534,16.93459437,0.73544286,0.831161189,0.066258277
SPPV,28,0.903225806,0.862439713,-0.004912867,0.052631579,0.901587302,0.306984705,0.1,1,1,0,0,0.025641026,0.02593603,9.650094039,2.60045707,13.46989331,0.641433139,0.66111135,0.095317637
SPVCV,28,0.903225806,0.908412527,-0.003270981,0.078947368,0.783333333,0.203214902,0.1,1,1,0,0,0.025641026,0.019505489,11.48585327,2.905692846,18.27790305,0.708047191,0.897091675,0.065114378
IYVV,27,0.870967742,1.005950206,0.000220378,0.157894737,0.86091954,0.240382411,0.133333333,1,1,0,0,0.025641026,0.023314092,9.60817329,2.805987986,16.54341249,0.653431942,0.811961722,0.105207492
SPGVaV,27,0.870967742,0.92217582,-0.002882377,0.184210526,0.764583333,0.18007203,0.133333333,1,1,0,0,0.025641026,0.021907782,10.40381769,2.983567065,19.75816976,0.648693473,0.969744153,0.105822295
SPSMV-1,27,0.870967742,0.825064991,-0.006479074,0.105263158,0.933333333,0.341286211,0.133333333,1,1,0,0.024054983,0.025641026,0.026569799,9.171329202,2.530623447,12.56133502,0.618620436,0.616518703,0.120493536
SPV2,27,0.870967742,0.850982843,-0.005519154,0.210526316,0.79047619,0.175012129,0.133333333,1,1,0,0,0.025641026,0.017203939,11.98855704,3.009533064,20.27792922,0.649280631,0.995254294,0.105827797
SPVG,27,0.870967742,0.930002214,-0.002592511,0.131578947,0.822222222,0.239332665,0.133333333,1,1,0,0,0.025641026,0.024592249,9.544697007,2.736968238,15.44010334,0.623050296,0.757810573,0.103931946
CmV,26,0.838709677,0.860337772,-0.005371624,0.315789474,0.856190476,0.273697633,0.166666667,1,1,0,0,0.025641026,0.027465536,8.222221187,2.628384144,13.85137,0.673806724,0.67983448,0.08432019
SPCFV,26,0.838709677,0.965085231,-0.001342876,0.236842105,0.95093633,0.41028949,0.166666667,1,1,0,0.003436426,0.025641026,0.028845749,7.667626988,2.299674873,9.970940107,0.641194833,0.489380392,0.1278133
SPCSV,26,0.838709677,0.860337772,-0.005371624,0.342105263,0.856190476,0.273697633,0.166666667,1,1,0,0,0.025641026,0.027465536,8.222221187,2.628384144,13.85137,0.673806724,0.67983448,0.08432019
SPCV,26,0.838709677,0.813699714,-0.007165396,0.368421053,0.857333333,0.253072639,0.166666667,1,1,0,0,0.025641026,0.021622991,9.693497996,2.765670894,15.88969671,0.664477581,0.779876915,0.086614071
SPVC,26,0.838709677,0.988979675,-0.000423859,0.263157895,0.912777778,0.320330091,0.166666667,1,1,0,0.199312715,0.025641026,0.031704545,7.709844131,2.48255473,11.97181013,0.647187512,0.587584428,0.111200732
ToBlV1,26,0.838709677,0.967857,-0.001236269,0.289473684,0.949799197,0.419567687,0.166666667,1,1,0,0.085910653,0.025641026,0.029937021,7.843427438,2.235408932,9.350304706,0.529701193,0.458919193,0.235046307
BCMV,25,0.806451613,0.859298066,-0.005628077,0.394736842,0.908484848,0.348479229,0.2,1,1,0,0.147766323,0.025641026,0.033270392,7.451608834,2.302483618,9.998985302,0.55293647,0.490756869,0.160032954
DBV,25,0.806451613,0.86407341,-0.005437064,0.447368421,0.975,0.569306075,0.2,1,1,0,0.085910653,0.025641026,0.030171324,7.846449586,1.836711722,6.275867497,0.421149637,0.308023764,0.285537418
SPC6V,25,0.806451613,0.745533216,-0.010178671,0.473684211,0.871604938,0.255179624,0.2,1,1,0,0,0.025641026,0.02209219,9.166742401,2.703116397,14.92617521,0.686016111,0.732586637,0.085590013
SPFMV,25,0.806451613,0.852107671,-0.005915693,0.421052632,0.919444444,0.327624321,0.2,1,1,0,0.010309278,0.025641026,0.030408405,7.466284003,2.45402832,11.63512244,0.638019404,0.571059572,0.111548012
BSV,24,0.774193548,0.986970372,-0.000542901,0.5,0.838596491,0.286329683,0.233333333,1,1,0,0.12371134,0.025641026,0.033689045,6.836076167,2.475642569,11.88934438,0.640667609,0.583536954,0.136054872
MeLCV,24,0.774193548,0.924222341,-0.003157402,0.526315789,0.978248588,0.600384127,0.233333333,1,1,0,0.075601375,0.025641026,0.030388613,7.194403895,1.730543197,5.643718725,0.373754859,0.27699748,0.350417326
CMV,23,0.741935484,0.747707001,-0.010969261,0.578947368,0.912056738,0.321105355,0.266666667,1,1,0,0,0.025641026,0.02513951,7.154025196,2.487617598,12.03257552,0.667704655,0.590566834,0.088453782
SPMV,23,0.741935484,0.945544561,-0.002367628,0.552631579,0.964427861,0.495704373,0.266666667,1,1,0,0.04467354,0.025641026,0.03304753,5.957572911,1.974357019,7.201987425,0.553119575,0.353478348,0.198816501
SPBgV,22,0.709677419,0.617332756,-0.017393966,0.657894737,0.9,0.372308116,0.3,1,1,0,0,0.025641026,0.018543729,8.718814549,2.243329922,9.424662486,0.458718084,0.462568722,0.197382873
SPMMV,22,0.709677419,0.823349991,-0.008029546,0.605263158,0.916666667,0.315723827,0.3,1,1,0,0.006872852,0.025641026,0.022927938,7.511456523,2.473121695,11.85941059,0.485541641,0.582067783,0.203181286
SPYMV,22,0.709677419,0.769202064,-0.010490815,0.631578947,0.946376812,0.394927326,0.3,1,1,0,0,0.025641026,0.021853201,7.901817851,2.316818489,10.14335173,0.46818542,0.49784247,0.220776664
PVY,20,0.64516129,0.599279005,-0.02003605,0.684210526,0.852941176,0.264944026,0.366666667,1,1,0,0,0.025641026,0.016487821,7.872372699,2.573675323,13.11393393,0.527224634,0.643640626,0.160650202
YMV,20,0.64516129,0.660800403,-0.01695998,0.710526316,0.845833333,0.257736267,0.366666667,1,1,0,0,0.025641026,0.015829221,7.972193287,2.601385415,13.48240383,0.494629336,0.661725375,0.176172643
BgV,19,0.612903226,0.608195497,-0.02062129,0.736842105,0.890196078,0.28845295,0.4,1,1,0,0,0.025641026,0.013337314,8.343643032,2.50375573,12.22833415,0.483837353,0.600174798,0.200217376
CSSV,19,0.612903226,0.704843879,-0.015534533,0.763157895,0.838888889,0.274741684,0.4,1,1,0,0,0.025641026,0.0135182,8.57850241,2.512004343,12.3296181,0.335491661,0.605145882,0.294712597
GLRaV-1,17,0.548387097,0.680347623,-0.018803081,0.789473684,0.855555556,0.256519168,0.466666667,1,1,0,0,0.025641026,0.014501735,6.606128043,2.575515909,13.13809347,0.524531167,0.644826392,0.181223972
PtV,16,0.516129032,0.779372086,-0.013789245,0.815789474,0.980045351,0.646183909,0.5,1,1,0,0.065292096,0.025641026,0.035881374,3.884437764,1.321469239,3.748925401,0.315720104,0.18399976,0.438595551
CaYMV,15,0.483870968,1.001866891,0.000124459,0.868421053,0.958641975,0.499755194,0.533333333,1,1,0,0,0.025641026,0.01942639,4.509721845,1.731738372,5.650467992,0.346916798,0.277328739,0.458585913
CoSMV,15,0.483870968,0.687527287,-0.020831514,0.842105263,0.978531073,0.623474153,0.533333333,1,1,0,0.127147766,0.025641026,0.03467023,3.793753326,1.365725287,3.918564106,0.29507609,0.192325741,0.441573201
LMV,15,0.483870968,0.428126556,-0.038124896,0.921052632,0.975,0.569780103,0.533333333,1,1,0,0,0.025641026,0.012621582,6.228530782,1.726723808,5.622204283,0.29582673,0.275941537,0.351862059
SPLV,15,0.483870968,0.398287281,-0.040114181,0.894736842,0.907017544,0.337302754,0.533333333,1,1,0,0,0.025641026,0.013930708,5.765093209,2.239023051,9.384158963,0.503059518,0.460580782,0.178377637
CLNV,12,0.387096774,0.677755978,-0.026853668,0.947368421,0.905,0.365794462,0.633333333,1,1,0,0,0.025641026,0.014756867,3.984164993,2.031835451,7.628074472,0.282181105,0.374390984,0.339857443
CatMV,10,0.322580645,0.627223598,-0.03727764,0.973684211,0.95308642,0.512209893,0.7,1,1,0,0,0.025641026,0.012091137,3.300504089,1.563669481,4.776315728,0.19019329,0.234424762,0.477690694
CHPV,10,0.322580645,0.481455807,-0.051854419,1,0.91875,0.401292677,0.7,1,1,0,0,0.025641026,0.011211262,3.576668804,1.899924845,6.685391984,0.192200932,0.328123499,0.378106505
