"BE-S001" "BE-S003" "BE-S004" "BE-S005" "BE-S006" "BE-S007" "BE-S008" "BE-S009" "BE-S010" "BE-S011" "BE-S012" "BE-S014" "BE-S016" "BE-S017" "BE-S018" "BE-S019" "BE-S020" "BE-S021" "BE-S023" "BE-S024" "BE-S025" "BE-S031" "BE-S032" "BE-S033" "GH-S004a" "GH-S006a" "GH-S007a" "GH-S008a" "GH-S011b" "GH-S012a" "GH-S013a" "GH-S014a" "GH-S015a" "GH-S019a" "GH-S023a" "GH-S025a" "GH-S026a" "GH-S027a" "GH-S030a" "GH-S031a" "GH-S034a" "GH-S035a" "GH-S039a" "GH-S041a" "GH-S103" "GH-S104" "GH-S105" "GH-S110" "GH-S113" "GH-S119" "GH-S122" "GH-S123" "GH-S130" "GH-S143a" "GH-S149a" "GH-S156a" "NI-S002" "NI-S003" "NI-S004" "NI-S005" "NI-S006" "NI-S007" "NI-S008" "NI-S010" "NI-S029" "NI-S030" "NI-S032" "NI-S033" "NI-S034" "NI-S035" "NI-S036" "NI-S037" "NI-S038" "NI-S039" "NI-S040" "NI-S041" "NI-S042" "NI-S043" "NI-S044" "NI-S045" "NI-S046" "NI-S047" "NI-S048" "NI-S049" "NI-S050" "NI-S051" "NI-S052" "NI-S053" "NI-S054" "NI-S055" "NI-S056" "NI-S057" "NI-S058" "NI-S059" "NI-S060" "NI-S061" "NI-S062" "NI-S063" "NI-S064" "NI-S065" "NI-S066" "NI-S067" "NI-S068" "NI-S069" "NI-S070" "NI-S071" "NI-S072" "NI-S073" "NI-S074" "NI-S075" "NI-S076" "NI-S077" "NI-S079" "NI-S080" "NI-S081" "NI-S082" "NI-S083" "NI-S084" "NI-S086" "NI-S087" "NI-S088" "NI-S089" "NI-S090" "NI-S092" "NI-S093" "NI-S094" "NI-S095" "NI-S096" "NI-S097" "NI-S098" "NI-S100" "NI-S101" "NI-S102" "NI-S103" "NI-S104" "NI-S105" "NI-S106" "NI-S107"
"BCMV" 2 2 3 0 0 10 1 16 0 11 3 96 0 0 8 1 6 44 1 2 0 0 10 0 0 1 0 1 0 0 0 0 3 1 1 1 0 6 1 2 0 0 1 1 0 1 0 1 0 0 0 0 2 0 0 0 0 19 0 1 1 0 2 0 0 4 2 18 0 0 2 2 7 1 9 6 1 305 1 1 0 0 4 1 1 4 0 11 3 18 4 1 128 4 1 0 2 145 1 2 2 1 5 6 0 0 0 19 15 2 0 1 50 7 5 51 0 42 0 0 25 1 44 97 0 5 1 227 18 1 7 0 64 1 0 2 0 1
"BgV" 0 2 4 0 9 4 2 1 1 1 0 1 0 0 10 0 2 0 1 1 3 0 21 1 0 0 0 1 0 1 1 0 1 1 2 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 0 1 0 0 2 1 0 7 3 0 0 1 3 0 0 0 2 1 0 2 0 0 1 2 81 6 1 1 0 8 1 0 240 0 35 1 1 1 5 1 3 0 1 0 4 2 1 2 0 4 6 0 0 4 0 3 0 35 9 3 1 0 0 4 0 0 0 4 0 1 0 0 5 0 2 3 0 2 0 0
"BSV" 7 5 2 0 1 1 1 16 0 6 2 24 1 0 6 41 0 33 0 2 18 3 216 4 0 1 0 1 0 1 0 0 1 0 0 0 0 2 0 0 0 1 2 0 0 0 0 1 0 0 0 0 5 0 0 0 0 6 1 1 0 1 28 1 0 24 3 23 3 1 2 3 94 1 5 2 4 17 3 4 5 1 13 2 1 3 0 10 0 13 1 27 10 7 0 9 1 6 1 4 9 0 47 9 0 105 9 1 52 1 4 0 52 16 16 26 27 99 4 4 17 2 36 21 2 15 1 12 3 1 4 1 1 4 0 4 0 1
"BYMV" 0 1 5 0 0 1 1 11 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 1 0 17 0 0 0 0 61 0 0 0 0 10 0 0 0 0 0 3 0 0 8 62 1 1 0 0 3 0 0 1 0 3 1 1 0 0 3 0 0 0 0 0 0 1 0 1 28 0 2 16 0 0 4 18 1 0 3 466 0 5 1 0 5 3 31 0 199 1 1 2 2 25 0 0 2 1 0 5 1 4 1 0 6 0 1 0 0
"CarVY" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 4 3 0 0 0 0 5 1 0 0 0 13 6 0 0 7 0 0 0 0 3 0 9 1 0 2 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 15 0 2 3 0 0 0 0
"CatMV" 2 0 10 1 0 2 0 11 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 2 0 1 0 1 1 0 3 0 0 0 0 28 1 1 1 0 5 8 0 0 1 0 0 2 3 3 3 0 0 0 0 0 0 3 0 21 0 0 1 3 0 2 0 0 0 0 29 11 3 0 3 0 0 22 0 0 6 1 1 0 0 1 0 1 1 0 5 5 1 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 8 0 0 12 1 1 0 0
"CaYMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 4 0 0 1 0 16 0 0 0 0 2 0 0 0 3 9 1 0 0 0 0 1 0 0 0 2 0 0 0 0 4 2 0 1 0 16 0 2 0 0 115 1 1 9 1 0 0 1 4 0 6 11 4 8 0 19 2 3 0 1 0 1 2 0 0 0 2 0 0 0 0 55 0 11 0 12 5 0 2 1 0 0 0 2 0 12 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1
"CeMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 8 0 0 0 0 2 1 0 0 0 0 4 0 0 0 2 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 4 0 0 0 0 2 1 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 20 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 1 2 1 0 2 0 0
"CHPV" 2 0 1 0 0 2 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 5 2 0 2 0 2 7 0 0 0 0 1 0 0 0 1 0 0 0 0 21 0 1 0 0 0 0 0 0 2 0 0 0 0 0 11 1 1 91 1 0 1 0 0 0 9 0 1 2 0 10 0 0 0 0 1 0 1 0 0 0 4 17 0 0 2 8 0 0 0 0 0 1 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 7 0 2 1 0 0 0 0 5 0 3 0 0
"CLNV" 4 0 5 0 0 2 0 3 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 4 0 0 0 1 3 3 0 0 0 4 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 6 1 1 8 1 0 0 0 0 0 0 0 0 0 4 7 2 23 0 1 2 0 3 0 0 0 0 1 6 0 0 4 0 0 0 3 3 5 0 0 0 0 0 0 0 0 4 1 0 0 0 0 1 0 0 0 0 0 21 0 0 0 0 0 0 17 0 1 1 1 0 85 0 1 40 0 0 3 2 0 0
"CmV" 3 1 3 1 5 1 1 8 0 1 2 3 91 8 2 6 0 77 9 2 1 24 66 81 0 1 0 5 0 0 0 1 1 0 0 0 0 3 1 0 0 0 2 1 0 0 0 1 1 0 5 0 2 0 0 1 0 29 4 1 5 1 50 3 1 71 1 244 4 1 34 1 18 7 9 20 1 3 8 4 41 1 3 5 5 7 0 2 0 15 54 3 12 3 2 40 1 20 5 1 47 1 2 4 0 155 8 4 61 1 58 6 52 9 3 13 11 2 7 2 14 3 2 13 3 9 3 1 3 0 8 0 1 1 1 4 0 2
"CMV" 1 1 9 0 13 5 0 16 1 1 0 0 0 1 1 0 4 74 183 0 24 22 151 2 0 0 0 2 0 1 0 0 1 1 0 0 0 3 0 0 0 0 3 1 0 1 0 0 0 0 5 0 12 1 0 1 0 18 1 2 3 0 147 1 0 81 1 39 5 1 18 0 4 43 5 18 1 2 10 52 8 1 1 1 1 9 0 5 2 33 90 1 13 7 0 50 1 6 2 1 211 4 5 12 1 152 19 24 12 1 2 1 4 6 6 17 5 5 1 2 48 3 1 20 3 5 0 0 1 0 4 1 2 1 0 1 0 0
"CoSMV" 6 1 3 1 0 1 0 2 0 2 0 0 0 7 1 0 0 0 0 0 0 0 5 4 0 0 0 2 0 0 0 0 0 1 0 0 0 2 1 0 0 0 1 0 0 0 0 1 2 1 3 0 8 0 2 2 0 7 1 0 3 0 2 0 0 125 0 0 6 0 13 0 29 0 14 2 0 0 0 1 0 0 2 1 0 23 0 1 3 1 7 0 1 0 0 0 3 3 2 3 0 0 8 1 0 0 0 0 2 5 1 0 0 5 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0
"CSSV" 1 0 1 0 0 1 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 2 0 0 3 0 2 10 0 2 0 1 1 1 7 0 4 0 0 1 0 16 0 2 2 0 0 15 0 0 1 0 0 8 21 1 1 0 2 46 0 0 1 3 2 6 1 1 0 2 0 1 0 0 0 0 3 7 1 0 5 0 1 6 0 1 0 41 1 0 0 0 0 1 1 2 1 1 0 0 0 0 0 0 0 0 3 0 0 117 0 0 0 0 5 0 0 5 1 5 0 0
"CsVC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 0 1 2 3 20 0 2 8 1 0 1 12 0 0 2 0 6 3 0 2 0 0 2 0 22 0 3 2 1 0 3 0 12 1 0 2 25 30 5 27 0 2 1 1 127 0 0 0 3 69 0 0 2 1 1 0 0 0 0 2 0 4 0 0 4 0 0 3 0 11 0 0 1 0 2 0 0
"DBV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 1 0 3 3 0 1 0 5 1 0 3 0 5 3 0 4 0 0 0 1 3 0 0 1 0 1 1 0 2 6 4 0 1 0 2 37 2 0 1 2 0 1 0 9 4 1 0 0 1 0 7 7 1 5 3 24 0 11 1 48 0 2 0 0 4 0 0 0 0 5 23 0 0 1 0 0 0 0 11 0 2 0 0 1 1 25 0 0 0 1 0 1 0 0 0 8 2 0 0 0 10 0 7 1 1 2 0 0
"FBV-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 2 1 1 0 0 6 2 0 0 0 0 1 0 0 0 0 0 0 3 0 0 2 0 1 0 0 1 0 0 0 2 0 6 1 0 1 1 0 55 1 10 27 0 16 1 2 0 1 8 1 2 4 1 3 1 3 2 1 5 0 1 2 4 5 1 2 4 3 0 1 5 8 2 78 0 1 1 4 66 0 2 0 1 9 0 23 2 1 0 1 3 1 1 4 3 1 0 0 6 2 0 0 0 6 1 0 3 0 5 1 0
"GLRaV-1" 1 0 1 1 1 5 0 0 0 0 20 0 0 0 0 70 0 38 0 0 0 0 16 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 3 0 0 0 0 0 0 129 2 0 3 0 11 2 6 1 1 1 0 44 4 1 2 1 0 2 1 1 0 0 1 3 11 0 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 3 3 1 0 1 4 1 0 0 0 5 0 1 0 0 0 0 0
"HarMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 4 2 27 0 9 2 0 3 28 8 2 13 0 2 0 0 0 1 1 0 0 0 0 0 0 0
"IYVV" 20 0 3 1 49 6 0 5 1 0 3 0 3 5 1 0 0 28 0 2 0 0 0 0 0 2 0 0 0 1 1 0 1 1 0 0 0 0 2 0 2 0 0 1 0 4 0 1 1 0 2 0 0 0 0 1 0 2 1 4 2 0 2 1 0 55 1 23 3 1 20 1 7 0 2 26 5 1 1 5 24 1 2 3 0 42 1 1 1 2 115 14 3 1 2 17 21 1 3 2 196 1 3 2 2 102 1 2 12 1 2 2 1 2 2 13 26 15 2 1 11 9 3 187 0 7 8 4 5 0 13 2 1 9 0 4 0 1
"LMV" 0 0 0 3 1 82 0 8 3 1 3 0 0 0 4 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 2 2 0 1 1 2 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 11 0 0 2 0 0 0 0 0 0 28 1 0 0 1 6 1 0 1 1 101 0 0 0 1 20 2 2 2 3 0 0 2 0 0 0 1 2 0 12 0 1 0 0 0 0 1 0 0 0 2 1 0 31 1 0 0 1 3 0 5 15 17 0 0 0 7 1 6 0 18 0 0 0 0 0 0 2
"LPV" 0 0 1 1 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 11 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 1 0 2 0 0 0 4 0 1 0 0 0 0 0 1 0 1 2 0 2 13 0 0 0 0 2 2 0 1 0 7 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 3 0 0 0 12 0 0 0 0 0 0 0 0 6 0 0 0 4 0 0 0 0 0 0 5 0 0 1 0
