"MO-AS001" "MO-AS015" "MO-AS020" "MO-AS068" "MO-AS082" "MO-BS038" "MO-BS044" "MO-BS047" "MO-BS062" "MW-S001" "MW-S002" "MW-S003" "MW-S004" "MW-S008" "MW-S009" "MW-S010" "MW-S011" "MW-S012" "MW-S013" "MW-S014" "MW-S018" "MW-S019" "MW-S020" "MW-S021" "MW-S022" "MW-S023" "MW-S025" "MW-S027" "MW-S028" "MW-S029" "MW-S030" "MW-S031" "MW-S032" "MW-S033" "MW-S034" "MW-S037" "MW-S038" "MW-S039" "MW-S042" "MW-S044" "MW-S045" "MW-S046" "MW-S047" "MW-S048" "MW-S049" "MW-S050" "MW-S051" "MW-S052" "MW-S053" "MW-S054" "MW-S055" "MW-S056" "MW-S057" "MW-S058" "MW-S059" "MW-S060" "MW-S061" "MW-S062" "MW-S063" "MW-S064" "MW-S065" "MW-S066" "MW-S067" "MW-S068" "MW-S069" "MW-S071" "MW-S073" "MW-S074" "MW-S075" "MW-S076" "MW-S077" "MW-S078" "MW-S079" "MW-S080" "MW-S081" "MW-S082" "MW-S084" "MW-S085" "MW-S086" "MW-S087" "MW-S091" "MW-S093" "MW-S094" "MW-S095" "MW-S097" "MW-S098" "MW-S099" "MW-S100" "MW-S101" "MW-S102" "MW-S103" "MW-S104" "MW-S109" "MW-S115" "MW-S116" "MW-S117" "MW-S118" "MW-S119" "MW-S120" "MW-S121" "MW-S123" "MW-S124" "MW-S125" "MW-S126" "MW-S127" "MW-S128" "MW-S129" "TZ1" "TZ10" "TZ100" "TZ101" "TZ102" "TZ103" "TZ104" "TZ105" "TZ106" "TZ107" "TZ108" "TZ109" "TZ110" "TZ111" "TZ112" "TZ114" "TZ115" "TZ116" "TZ15" "TZ17" "TZ18" "TZ19" "TZ2" "TZ20" "TZ22" "TZ23" "TZ24" "TZ29" "TZ3" "TZ31" "TZ32" "TZ33" "TZ34" "TZ35" "TZ36" "TZ37" "TZ38" "TZ39" "TZ40" "TZ41" "TZ42" "TZ43" "TZ44" "TZ45" "TZ46" "TZ47" "TZ48" "TZ49" "TZ51" "TZ52" "TZ54" "TZ55" "TZ57" "TZ58" "TZ59" "TZ60" "TZ61" "TZ62" "TZ63" "TZ64" "TZ65" "TZ66" "TZ67" "TZ68" "TZ69" "TZ70" "TZ71" "TZ72" "TZ73" "TZ74" "TZ75" "TZ76" "TZ77" "TZ78" "TZ79" "TZ80" "TZ81" "TZ82" "TZ83" "TZ84" "TZ85" "TZ86" "TZ87" "TZ88" "TZ89" "TZ9" "TZ90" "TZ91" "TZ92" "TZ93" "TZ94" "TZ95" "TZ96" "TZ97" "TZ98" "TZ99" "ZW-S013" "ZW-S014" "ZW-S015" "ZW-S016" "ZW-S017" "ZW-S018" "ZW-S019" "ZW-S020" "ZW-S021" "ZW-S023" "ZW-S024"
"BBrMV" 0 0 0 3 0 1 3 0 0 0 0 1 1 0 0 4 0 0 0 0 0 0 0 3 0 6 0 0 0 1 0 1 0 0 0 1 3 0 1 0 0 0 0 2 3 0 0 0 0 0 1 0 2 7 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 5 0 3 0 0 1 1 18 0 0 0 0 0 0 0 0 1 3 0 1 6 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 6 1 0 0 0 0 2 0 1 2 1 0 0 0 0 0 0 0 2 1 0 0 0 0 17 0 0 0 1 0 3 0 7 3 0 1 0 0 1 0 0 2 3 17 0 0 7 0 0 0 0 0 0 4 1 3 2 0 3 1 2 1 0 0 2 1 0 0 4 1 1 4 0 0 0 0 26 0 1 1 0 0 0 0 0 0 0 0 1 2 1 0 10 0 0 0 2 0 2 0 0 1 3 0
"BBWV-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 7 1 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0 2 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 2 4 0 0 0 2 1 0 0 0 7 0 0 3 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 0 1 0 14 0
"BCMV" 18 2 1 6 0 1 1 1 4 4 1 1 0 1 0 1 2 0 0 33 1 10 1 1 0 0 1 3 1 1 0 0 1 1 0 0 0 1 2 2 3 0 1 0 6 1 1 2 20 1 5 0 8 1 2 1 0 1 0 6 0 7 16 5 1 1 14 4 2 1 18 2 2 1 1 9 2 0 4 4 1 15 0 11 1 2 2 6 6 1 1 2 4 15 1 1 3 1 0 2 2 0 1 4 0 1 1 1 3 6 2 0 3 1 3 8 2 2 1 0 1 4 1 2 1 0 2 4 1 2 6 0 0 0 3 2 0 4 0 1 3 2 1 2 1 3 7 11 1 6 1 15 0 1 3 10 7 30 250 21 1 6 35 0 1 1 3 1 0 1 2 0 0 1 4 15 1 6 1 1 1 1 2 6 0 2 10 0 6 1 2 1 1 11 26 3 0 2 1 3 2 2 3 6 2 2 1 3 0 1 1 2 3 10
"BgV" 0 0 1 3 0 2 1 0 1 3 0 0 1 1 1 3 1 2 0 2 1 0 2 1 2 1 7 0 6 0 1 1 0 7 0 0 0 4 1 1 2 1 0 0 7 0 2 2 1 2 0 0 2 1 4 1 0 1 2 0 1 1 0 6 0 0 2 1 1 0 11 1 4 3 1 0 1 0 0 7 2 18 0 0 1 1 1 2 8 3 2 0 2 36 6 6 3 1 0 0 1 0 2 6 0 5 1 0 0 8 14 0 2 0 6 0 1 1 1 1 1 0 2 1 21 0 0 0 2 3 0 0 1 0 2 2 0 3 11 1 11 3 2 1 7 1 11 5 6 3 1 3 2 3 11 1 9 5 0 4 7 11 10 1 10 2 1 1 0 0 2 1 1 0 2 4 0 2 1 3 3 1 1 4 0 0 7 2 9 1 1 21 0 0 3 1 1 1 0 3 4 1 4 3 1 1 0 5 0 1 2 2 16 12
"BSV" 21 0 6 1 0 0 3 0 2 3 1 0 1 1 0 2 5 5 1 3 0 1 1 1 1 2 4 8 1 1 1 1 0 4 0 0 3 7 2 2 2 0 0 0 4 11 1 1 0 2 0 1 1 1 1 1 2 13 0 3 0 9 4 1 8 36 14 3 2 3 5 2 2 0 1 1 2 0 3 1 3 3 0 9 1 3 3 7 2 5 8 1 4 27 1 9 10 1 0 0 1 5 1 5 3 3 0 1 1 9 15 1 1 1 2 1 3 4 0 1 2 5 7 5 10 1 1 0 0 3 4 1 0 0 1 1 0 1 1 1 9 1 4 13 11 5 7 4 1 1 5 5 2 1 4 0 47 2 0 1 0 11 98 5 6 0 2 1 1 0 0 1 2 1 2 7 4 1 2 0 0 1 1 10 16 1 9 2 1 0 1 1 1 2 4 0 1 1 4 3 7 1 9 10 0 1 0 3 1 1 1 13 11 2
"BYMV" 13 0 0 4 1 0 1 0 0 0 2 1 1 0 0 6 2 1 0 3 0 1 0 1 0 0 1 1 0 1 3 5 0 0 1 1 0 6 1 2 1 0 0 0 0 2 1 1 3 1 2 0 1 0 1 1 1 3 1 31 1 1 6 1 0 1 16 1 0 0 11 1 2 0 5 0 1 2 0 0 0 8 0 4 0 0 1 1 0 0 1 1 0 6 0 1 8 1 0 0 0 0 1 1 2 0 0 0 1 17 27 1 1 1 3 19 3 3 0 0 0 2 0 3 4 1 0 0 0 1 8 1 0 0 1 0 0 3 1 3 2 9 2 1 8 4 15 2 2 7 1 4 3 2 5 4 3 28 0 3 0 13 28 5 5 0 1 1 0 2 0 3 0 1 1 1 2 4 2 1 0 1 4 1 0 0 1 1 7 0 1 0 1 0 1 0 0 2 1 1 6 0 2 8 1 3 0 1 3 2 1 8 1 6
"CABMV" 0 0 0 3 0 1 5 0 0 0 0 1 0 1 2 5 2 3 1 0 1 0 0 1 0 2 0 3 1 1 0 2 0 4 1 1 2 1 1 0 2 2 1 1 1 0 0 1 0 1 0 0 1 0 5 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 6 0 1 1 1 0 2 0 3 0 0 0 1 0 0 1 0 4 1 3 0 7 1 0 1 1 3 2 0 0 5 0 0 0 0 1 0 0 2 0 6 0 1 0 0 0 1 26 1 1 1 0 12 1 0 0 0 1 0 0 2 0 4 0 2 2 0 0 2 2 8 0 7 2 0 0 4 5 3 6 0 3 1 1 2 0 2 0 0 4 0 0 0 10 4 1 0 1 0 1 0 3 0 0 0 2 1 2 0 1 1 2 1 2 0 3 0 1 4 1 0 1 4 5 1 1 1 0 1 1 4 0 10 0 5 0 0 2 3 3 1 7 7 4
"CarVY" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 2 2 0 0 2 6 1 0 0 2 2 24 0 0 0 0 1 1 0 0 0 2 0 0 0 0 25 4 5 1 1 0 1 2 1 4 0 3 1 1 3 5 7 4 0 0 1 0 30 0 0 2 0 1 0 0 1 0 2 1 2 10 0 0 0 11 0 1 0 0 1 0 4 16 1 2 0 0 0 0 2 0 0 1 0 0 1 0 4 0 0 0 0 0 0 0 0 0 3 1 0
"CatMV" 2 0 0 6 0 2 0 2 0 0 1 1 0 2 1 3 5 5 0 10 3 2 1 3 0 0 0 1 0 1 2 8 1 1 2 1 0 3 0 0 11 0 0 1 3 0 3 1 0 0 1 0 12 0 3 0 4 0 4 2 0 2 17 0 0 0 4 4 0 1 9 2 0 0 4 0 0 0 0 1 0 0 0 3 0 0 1 1 0 0 0 1 0 3 0 8 0 0 1 0 0 0 6 7 0 0 0 0 0 1 7 0 0 4 0 0 0 1 2 0 1 13 0 3 0 0 0 0 0 1 3 0 0 0 2 4 0 3 0 2 3 0 6 0 1 0 1 14 0 0 2 1 0 4 3 3 0 0 0 0 1 0 0 0 4 0 0 0 0 0 0 5 0 0 10 0 1 1 2 1 4 0 0 1 0 1 3 0 0 0 0 0 0 0 0 0 0 2 1 1 8 2 7 6 1 0 0 0 2 11 1 4 0 2
"CaYMV" 4 16 1 1 0 0 1 0 8 1 0 1 0 0 0 2 0 9 0 0 1 1 0 0 0 1 0 1 6 0 0 2 11 4 5 0 1 6 1 0 3 0 0 0 3 1 2 0 1 0 1 0 1 0 1 0 0 1 0 0 0 1 6 3 12 7 3 0 1 1 0 1 6 6 0 0 1 3 1 0 0 20 1 1 2 0 0 0 6 0 0 16 0 3 0 0 2 0 3 0 0 0 1 3 1 3 0 0 0 13 1 1 0 0 70 1 1 2 0 1 0 7 1 1 32 0 1 0 0 0 0 1 0 0 2 28 0 0 5 1 4 8 0 11 0 3 1 1 0 0 0 2 0 0 0 1 0 14 0 4 0 19 0 0 1 1 0 0 0 0 0 1 6 0 1 11 0 0 3 1 3 0 0 5 0 0 0 0 0 0 0 1 0 0 9 0 0 0 14 0 0 0 6 2 1 3 0 3 0 1 0 0 1 5
