Sample,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,
MO-AS001,42,0.53164557,0.89844469,-0.002417984,0.539906103,0.81988743,0.474358974,0.147775954,0.03078865,1,0.004716981,9.47E-05,0.004673,0.015112445,10.19600204,3.511264965,33.49060544,0.501265887,0.577698077,0.135062676
MO-AS015,19,0.240506329,0.083351609,-0.048244652,0.976525822,0.977564103,0.769230769,0.394504928,0.013881699,1,0.004716981,0,0.004673,0.001357115,12.69807393,2.372538051,10.7245773,0.16051859,0.264515978,0.257569282
MO-AS020,34,0.430379747,0.091376076,-0.026724233,0.779342723,0.876068376,0.576923077,0.169472575,0.003748835,1,0.004716981,0,0.004673,0.001917623,29.4353712,3.359874593,28.78558075,0.430844098,0.545685561,0.090718926
MO-AS068,50,0.632911392,0.292032401,-0.014159352,0.342723005,0.885327635,0.371794872,0.158366807,0.009378235,1,0.004716981,0,0.004673,0.00456985,23.02039633,3.575966682,35.72914284,0.534770879,0.586192259,0.099648648
MO-AS082,24,0.303797468,0.04103044,-0.039957065,0.943661972,0.826923077,0.705128205,0.184790104,0.00189465,1,0.004716981,0,0.004673,0.000953925,65.34936605,3.128279561,22.83466009,0.341774537,0.433561035,0.057152178
MO-BS038,34,0.430379747,0.133425422,-0.025487488,0.784037559,0.933048433,0.576923077,0.203562592,0.006952566,1,0.004716981,0,0.004673,0.001437415,36.68166127,3.276142209,26.47344643,0.396237555,0.469584456,0.148371715
MO-BS044,36,0.455696203,0.132589094,-0.024094747,0.755868545,0.866666667,0.551282051,0.15779474,0.005185014,1,0.004716981,0,0.004673,0.001550927,41.95420038,3.442517331,31.26556495,0.467962909,0.502606995,0.121813992
MO-BS047,25,0.316455696,0.065274349,-0.037389026,0.915492958,0.863247863,0.692307692,0.189631828,0.003309147,1,0.004716981,0,0.004673,0.0009894,39.12181939,3.129364064,22.85943779,0.342145393,0.39248852,0.111942214
MO-BS062,31,0.392405063,1.676254106,0.021814649,0.845070423,0.94468032,0.615384615,0.29340378,0.146745327,1,0.004716981,0.018302015,0.004673,0.041607455,5.426582757,2.624526518,13.79803951,0.2065202,0.348947917,0.348116501
MW-S001,43,0.544303797,0.419089229,-0.013509553,0.507042254,0.842490842,0.461538462,0.154966981,0.015751534,1,0.004716981,0,0.004673,0.00719645,14.20380333,3.497414234,33.02993376,0.494370849,0.555117526,0.120949817
MW-S002,34,0.430379747,0.106951416,-0.026266135,0.79342723,0.849358974,0.576923077,0.160404953,0.00407207,1,0.004716981,0,0.004673,0.001466199,44.57913987,3.40510326,30.11740549,0.450777996,0.486914038,0.11060718
MW-S003,26,0.329113924,0.078928365,-0.035425832,0.910798122,0.907051282,0.679487179,0.205066389,0.004269987,1,0.004716981,0,0.004673,0.000973231,56.61093112,3.118427281,22.61079125,0.338423811,0.349997661,0.134790284
MW-S004,34,0.430379747,0.084740262,-0.026919404,0.802816901,0.837606838,0.576923077,0.146705821,0.002607673,1,0.004716981,0,0.004673,0.001157327,93.55350192,3.464125514,31.94850902,0.478184778,0.49869393,0.078854965
MW-S008,20,0.253164557,0.069145877,-0.046542706,0.971830986,0.944444444,0.756410256,0.257499689,0.005680875,1,0.004716981,0,0.004673,0.000950826,22.82050267,2.793826102,16.34343196,0.244618,0.325457353,0.161289887
MW-S009,36,0.455696203,0.146786717,-0.023700369,0.746478873,0.830769231,0.551282051,0.158596097,0.004595554,1,0.004716981,0,0.004673,0.001940749,29.19316549,3.42554742,30.73946764,0.460088623,0.520553113,0.109762092
MW-S010,45,0.569620253,0.188405687,-0.018035429,0.488262911,0.786324786,0.435897436,0.140107554,0.005968201,1,0.004716981,0,0.004673,0.002755148,29.53349224,3.604836135,36.7756571,0.550434432,0.571885354,0.096713778
MW-S011,45,0.569620253,0.215734757,-0.017428117,0.483568075,0.941724942,0.435897436,0.215362256,0.010933868,1,0.004716981,0,0.004673,0.003239599,25.76357945,3.34622368,28.39530117,0.425002643,0.500434131,0.14145878
MW-S012,54,0.683544304,0.331677167,-0.012376349,0.220657277,0.911010558,0.320512821,0.163376838,0.011141338,1,0.004716981,0,0.004673,0.003125346,33.35828772,3.636939053,37.97541791,0.568391682,0.52039801,0.133660209
MW-S013,16,0.202531646,0.063768948,-0.058514441,0.990610329,0.95970696,0.807692308,0.311080766,0.00743486,1,0.004716981,0,0.004673,0.000901663,14.66327945,2.508841485,12.29068287,0.183959053,0.199550835,0.214712563
MW-S014,48,0.607594937,0.614520114,-0.008030831,0.394366197,0.91469428,0.397435897,0.208743265,0.033247925,1,0.004716981,9.47E-05,0.004673,0.010184422,14.27108797,3.28393638,26.6805912,0.399337965,0.493066324,0.180380395
MW-S018,37,0.46835443,0.094134541,-0.02448285,0.741784038,0.799145299,0.538461538,0.142828569,0.003061007,1,0.004716981,0,0.004673,0.00142544,64.37503098,3.520191583,33.7909016,0.505760528,0.546702849,0.081971534
MW-S019,42,0.53164557,0.409684226,-0.014055137,0.544600939,0.930333817,0.474358974,0.221191026,0.022730572,1,0.004716981,0,0.004673,0.009849955,12.59393704,3.156673236,23.49231242,0.351617855,0.521600965,0.153691951
MW-S020,25,0.316455696,0.134959637,-0.034601615,0.920187793,0.928205128,0.692307692,0.209552658,0.013357452,1,0.004716981,0,0.004673,0.000849555,47.01412189,3.084617652,21.85910746,0.327173091,0.386117999,0.16588821
MW-S021,36,0.455696203,0.17449216,-0.022930773,0.751173709,0.861538462,0.551282051,0.16086248,0.006710315,1,0.004716981,0,0.004673,0.001507811,39.20467707,3.426871046,30.78018213,0.460698011,0.482690421,0.139184224
MW-S022,35,0.443037975,0.137746535,-0.024635813,0.76056338,0.956552707,0.564102564,0.250931404,0.012086418,1,0.004716981,0,0.004673,0.002272465,24.05776168,3.162248903,23.62366357,0.353583834,0.509733385,0.16036456
MW-S023,51,0.64556962,0.400491844,-0.011755062,0.309859155,0.847435897,0.358974359,0.13109129,0.018222255,1,0.004716981,0,0.004673,0.002865067,31.14784807,3.720544216,41.28685697,0.617955177,0.568372688,0.136124164
MW-S025,38,0.481012658,0.195964672,-0.021158824,0.676056338,0.907852564,0.525641026,0.209233014,0.011989859,1,0.004716981,0,0.004673,0.003626638,17.96408645,3.204588519,24.64535682,0.368875883,0.492793219,0.152005559
MW-S027,48,0.607594937,0.474065549,-0.010956968,0.399061033,0.93960114,0.397435897,0.213082451,0.031506215,1,0.004716981,0,0.004673,0.005999781,17.40481496,3.341601867,28.26436621,0.423042893,0.498688479,0.181979714
MW-S028,37,0.46835443,0.109418425,-0.024069772,0.727699531,0.884615385,0.538461538,0.179554073,0.004823696,1,0.004716981,0,0.004673,0.002016776,31.79854383,3.367844848,29.01592588,0.434291756,0.530448296,0.106374204
