"degree" "normalised.degree" "species.strength" "interaction.push.pull" "nestedrank" "PDI" "resource.range" "species.specificity.index" "PSI" "node.specialisation.index.NSI" "betweenness" "weighted.betweenness" "closeness" "weighted.closeness" "Fisher.alpha" "partner.diversity" "effective.partners" "proportional.generality" "proportional.similarity" "d"
"MO-AS001" 42 0.531645569620253 0.898444689882176 -0.0024179835742339 0.539906103286385 0.819887429643527 0.474358974358974 0.147775954328892 0.0307886500394726 1 0.00471698113207547 9.4665593789937e-05 0.00467299971479344 0.0151124447269241 10.1960020392261 3.51126496494791 33.4906054424413 0.50126588749727 0.577698077240548 0.135062676132387
"MO-AS015" 19 0.240506329113924 0.0833516090800386 -0.0482446521536822 0.976525821596244 0.977564102564103 0.769230769230769 0.394504928471982 0.0138816986888123 1 0.00471698113207547 0 0.00467299971479344 0.00135711478784532 12.698073934223 2.37253805105812 10.7245772957976 0.1605185897714 0.264515978103214 0.257569281902108
"MO-AS020" 34 0.430379746835443 0.0913760760385898 -0.0267242330576885 0.779342723004695 0.876068376068376 0.576923076923077 0.169472574553056 0.00374883451696341 1 0.00471698113207547 0 0.00467299971479344 0.00191762259377309 29.4353712033453 3.35987459339063 28.7855807507996 0.430844097667113 0.545685561222103 0.0907189261823491
"MO-AS068" 50 0.632911392405063 0.292032400680903 -0.0141593519863819 0.342723004694836 0.885327635327635 0.371794871794872 0.158366807376589 0.00937823517785279 1 0.00471698113207547 0 0.00467299971479344 0.00456984994200833 23.0203963268713 3.57596668186251 35.7291428414073 0.534770878558631 0.586192258964019 0.0996486484999161
"MO-AS082" 24 0.30379746835443 0.0410304404653108 -0.0399570649806121 0.943661971830986 0.826923076923077 0.705128205128205 0.184790104015747 0.00189465046862439 1 0.00471698113207547 0 0.00467299971479344 0.000953924890932015 65.3493660534792 3.12827956082787 22.8346600850794 0.341774536531384 0.433561034950639 0.0571521783372476
"MO-BS038" 34 0.430379746835443 0.133425422192597 -0.0254874875825707 0.784037558685446 0.933048433048433 0.576923076923077 0.203562592186602 0.00695256599565397 1 0.00471698113207547 0 0.00467299971479344 0.0014374145463025 36.6816612691205 3.27614220905757 26.4734464282526 0.396237555089185 0.469584455688419 0.148371715028645
"MO-BS044" 36 0.455696202531646 0.132589094288319 -0.02409474738088 0.755868544600939 0.866666666666667 0.551282051282051 0.157794740165298 0.00518501403865828 1 0.00471698113207547 0 0.00467299971479344 0.0015509273584079 41.9542003761802 3.44251733064102 31.2655649518284 0.467962909497625 0.502606994724447 0.121813991973597
"MO-BS047" 25 0.316455696202532 0.0652743489025304 -0.0373890260438988 0.915492957746479 0.863247863247863 0.692307692307692 0.189631828145869 0.00330914723958945 1 0.00471698113207547 0 0.00467299971479344 0.000989399676278385 39.1218193854144 3.1293640643829 22.8594377884447 0.34214539329266 0.392488520229128 0.111942213596071
"MO-BS062" 31 0.392405063291139 1.67625410633847 0.0218146485915637 0.845070422535211 0.94468031968032 0.615384615384615 0.293403780291084 0.146745327084292 1 0.00471698113207547 0.0183020147993878 0.00467299971479344 0.0416074545718098 5.42658275675441 2.6245265175983 13.7980395102761 0.206520199604274 0.348947917292186 0.348116500949491
"MW-S001" 43 0.544303797468354 0.419089228805578 -0.0135095528184749 0.507042253521127 0.842490842490842 0.461538461538462 0.154966980808516 0.0157515338656466 1 0.00471698113207547 0 0.00467299971479344 0.00719645009425404 14.2038033338971 3.49741423380092 33.0299337550398 0.494370849346138 0.555117525930867 0.120949817120127
"MW-S002" 34 0.430379746835443 0.106951416088431 -0.0262661348209285 0.793427230046948 0.849358974358974 0.576923076923077 0.160404952894666 0.0040720699216008 1 0.00471698113207547 0 0.00467299971479344 0.00146619854739902 44.5791398670192 3.40510326007643 30.1174054889505 0.450777995562969 0.486914037593702 0.110607179578201
"MW-S003" 26 0.329113924050633 0.0789283645954895 -0.0354258321309427 0.910798122065728 0.907051282051282 0.67948717948718 0.205066388933939 0.00426998679265714 1 0.00471698113207547 0 0.00467299971479344 0.000973231476870994 56.6109311162812 3.11842728116106 22.610791247882 0.33842381145854 0.349997660599822 0.134790283565539
"MW-S004" 34 0.430379746835443 0.0847402620107502 -0.0269194040585073 0.802816901408451 0.837606837606838 0.576923076923077 0.146705821170094 0.00260767270652716 1 0.00471698113207547 0 0.00467299971479344 0.00115732693121384 93.5535019187844 3.46412551373836 31.9485090214185 0.47818477800766 0.4986939299983 0.0788549651637893
"MW-S008" 20 0.253164556962025 0.069145876630665 -0.0465427061684667 0.971830985915493 0.944444444444445 0.756410256410256 0.257499688822316 0.00568087485820429 1 0.00471698113207547 0 0.00467299971479344 0.000950826143485796 22.8205026667925 2.79382610183921 16.3434319631009 0.244618000167687 0.325457352734759 0.161289886629799
"MW-S009" 36 0.455696202531646 0.146786717060072 -0.0237003689705536 0.746478873239437 0.830769230769231 0.551282051282051 0.158596097172221 0.00459555367684643 1 0.00471698113207547 0 0.00467299971479344 0.00194074913919603 29.1931654878238 3.4255474198666 30.7394676417937 0.460088622618049 0.520553113280346 0.109762092272939
"MW-S010" 45 0.569620253164557 0.18840568687457 -0.0180354291805651 0.488262910798122 0.786324786324786 0.435897435897436 0.140107553713919 0.00596820115575984 1 0.00471698113207547 0 0.00467299971479344 0.00275514779140258 29.5334922352247 3.60483613451056 36.7756571024186 0.550434432349139 0.571885353501023 0.0967137782118993
"MW-S011" 45 0.569620253164557 0.215734757178218 -0.0174281165071507 0.483568075117371 0.941724941724942 0.435897435897436 0.215362255726104 0.0109338682233687 1 0.00471698113207547 0 0.00467299971479344 0.00323959885424513 25.7635794508828 3.34622367988051 28.395301174616 0.425002643457992 0.500434131311683 0.141458779841121
"MW-S012" 54 0.683544303797468 0.331677166795744 -0.0123763487630418 0.220657276995305 0.911010558069382 0.320512820512821 0.163376837821142 0.0111413382704179 1 0.00471698113207547 0 0.00467299971479344 0.00312534583450954 33.3582877165317 3.63693905334315 37.9754179119079 0.568391682121369 0.520398009950249 0.133660208876648
"MW-S013" 16 0.20253164556962 0.0637689484143514 -0.058514440724103 0.990610328638498 0.95970695970696 0.807692307692308 0.311080766081257 0.0074348602363128 1 0.00471698113207547 0 0.00467299971479344 0.000901663474822755 14.6632794453005 2.50884148507199 12.2906828697323 0.183959052852368 0.199550835165863 0.214712562593457
"MW-S014" 48 0.607594936708861 0.614520113631773 -0.00803083096600473 0.394366197183099 0.914694280078895 0.397435897435897 0.20874326510719 0.0332479245312664 1 0.00471698113207547 9.4665593789937e-05 0.00467299971479344 0.0101844218501278 14.2710879718942 3.2839363795786 26.6805911961619 0.39933796502668 0.493066323523292 0.180380395370336
"MW-S018" 37 0.468354430379747 0.0941345406145359 -0.0244828502536612 0.741784037558685 0.799145299145299 0.538461538461538 0.142828568570857 0.00306100718458535 1 0.00471698113207547 0 0.00467299971479344 0.0014254398921858 64.3750309832761 3.5201915829111 33.7909016030562 0.505760527694844 0.546702849389417 0.0819715344005237
"MW-S019" 42 0.531645569620253 0.409684226208632 -0.0140551374712231 0.544600938967136 0.93033381712627 0.474358974358974 0.221191025786495 0.0227305721482975 1 0.00471698113207547 0 0.00467299971479344 0.00984995523063889 12.5939370417652 3.15667323639484 23.4923124159498 0.351617854528874 0.521600964738448 0.153691950792173
"MW-S020" 25 0.316455696202532 0.134959636801547 -0.0346016145279381 0.92018779342723 0.928205128205128 0.692307692307692 0.209552658393038 0.0133574520193383 1 0.00471698113207547 0 0.00467299971479344 0.000849555023026958 47.0141218907035 3.08461765217405 21.8591074618665 0.327173090991215 0.386117999344968 0.165888210313193
"MW-S021" 36 0.455696202531646 0.174492159576433 -0.0229307733450991 0.751173708920188 0.861538461538462 0.551282051282051 0.160862479944425 0.00671031497881876 1 0.00471698113207547 0 0.00467299971479344 0.001507810757763 39.2046770717894 3.42687104554316 30.7801821298749 0.460698010944489 0.482690421226845 0.13918422381171
"MW-S022" 35 0.443037974683544 0.137746534694326 -0.0246358132944478 0.76056338028169 0.956552706552707 0.564102564102564 0.25093140356616 0.0120864183275987 1 0.00471698113207547 0 0.00467299971479344 0.00227246462517524 24.0577616800184 3.1622489033886 23.623663571759 0.353583834325915 0.509733385372649 0.160364560123048
"MW-S023" 51 0.645569620253165 0.400491844252518 -0.0117550618774016 0.309859154929577 0.847435897435897 0.358974358974359 0.131091290042482 0.0182222546749941 1 0.00471698113207547 0 0.00467299971479344 0.00286506685807824 31.1478480743204 3.72054421613256 41.2868569693562 0.617955176602761 0.568372687847487 0.136124163621167
"MW-S025" 38 0.481012658227848 0.195964672093683 -0.0211588244185873 0.676056338028169 0.907852564102564 0.525641025641026 0.209233013952152 0.011989858610232 1 0.00471698113207547 0 0.00467299971479344 0.00362663782999219 17.9640864527404 3.20458851852361 24.6453568219197 0.368875883156502 0.492793218811063 0.152005558762897
"MW-S027" 48 0.607594936708861 0.474065548576707 -0.0109569677379853 0.39906103286385 0.93960113960114 0.397435897435897 0.213082450733091 0.03150621544558 1 0.00471698113207547 0 0.00467299971479344 0.00599978075236273 17.4048149559526 3.34160186666254 28.2643662078758 0.423042892911821 0.498688479464527 0.181979713693699
"MW-S028" 37 0.468354430379747 0.109418424641405 -0.0240697723069891 0.727699530516432 0.884615384615385 0.538461538461538 0.179554072905094 0.00482369609741651 1 0.00471698113207547 0 0.00467299971479344 0.00201677614844402 31.7985438302929 3.36784484768399 29.0159258846243 0.434291755791292 0.530448295914071 0.106374203870295
"MW-S029" 42 0.531645569620253 0.14542308471761 -0.0203470694114855 0.572769953051643 0.878205128205128 0.474358974358974 0.156524665559593 0.00503022576161491 1 0.00471698113207547 0 0.00467299971479344 0.0023860584229959 33.4280141890894 3.52602256879805 33.9885114436059 0.508718224959278 0.579071169009409 0.0928652528818371
"MW-S030" 24 0.30379746835443 0.0908981627502669 -0.0378792432187389 0.934272300469484 0.96646942800789 0.705128205128205 0.32405754213972 0.0125382260052444 1 0.00471698113207547 0 0.00467299971479344 0.0014508400364338 19.6498424200028 2.69226605618344 14.7650965779971 0.220994489122413 0.377040131165688 0.216160499100711
"MW-S031" 51 0.645569620253165 0.290318873022119 -0.0139153162152526 0.305164319248826 0.864102564102564 0.358974358974359 0.138179484461017 0.00853380394177211 1 0.00471698113207547 0 0.00467299971479344 0.00453263763776707 24.2892819440434 3.67855089939831 39.5889840655514 0.592542504698517 0.622662549322354 0.0899048513024287
"MW-S032" 29 0.367088607594937 0.0908240530048461 -0.0313508947239708 0.873239436619718 0.94988344988345 0.641025641025641 0.24519224303628 0.00717018135664662 1 0.00471698113207547 0 0.00467299971479344 0.00162906757038719 25.5098248000454 3.04471833494669 21.0041142446601 0.314376101263344 0.461370437953042 0.153814370069801
"MW-S033" 47 0.594936708860759 0.242151065089278 -0.0161244454236324 0.427230046948357 0.865384615384615 0.41025641025641 0.154173656011913 0.00845068751230283 1 0.00471698113207547 0 0.00467299971479344 0.00342702697590865 25.1248371995205 3.56176646616286 35.2253666370271 0.527230679662476 0.548129259657824 0.110119697201908
"MW-S034" 23 0.291139240506329 0.0682877347081738 -0.0405092289257316 0.948356807511737 0.923076923076923 0.717948717948718 0.236227103387128 0.00549648751395335 1 0.00471698113207547 0 0.00467299971479344 0.00107058167967278 29.1803764034794 2.929344256536 18.7153540009344 0.280119406895384 0.399888377191517 0.143815567663378
"MW-S037" 18 0.227848101265823 0.0593467783784661 -0.0522585123123074 0.981220657276995 0.955128205128205 0.782051282051282 0.292953604205301 0.00567741570154748 1.00469483568075 0 0 0.00466203023189487 0.000816692051775314 23.6007217201393 2.6409469170796 14.0264792340363 0.209939338773528 0.240116034248819 0.179912306974532
"MW-S038" 41 0.518987341772152 0.154017286970405 -0.0206337247080389 0.591549295774648 0.863782051282051 0.487179487179487 0.152853508498644 0.00551109434417547 1 0.00471698113207547 0 0.00467299971479344 0.00250348594222547 28.0282010765341 3.51249537304161 33.5318379156234 0.50188302869225 0.576937840879534 0.0966418436244296
"MW-S039" 48 0.607594936708861 0.327262963915935 -0.014015354918418 0.403755868544601 0.858220211161388 0.397435897435897 0.148987952420976 0.0105109133928962 1 0.00471698113207547 0 0.00467299971479344 0.0054343621985701 19.7310902724811 3.59070891236436 36.2597718179035 0.542712992513311 0.586433418959184 0.102255440184588
