Virus,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,d
SPCV,184,0.859813084,3.951387604,0.01604015,0,0.960784314,0.15674139,0.14084507,1,1,0,0.053873553,0.012658228,0.013386005,67.84213371,4.338856054,76.61984025,0.669855902,0.570976743,0.084308155
SPPV,183,0.855140187,3.793835307,0.01526686,0.012820513,0.967177697,0.165525262,0.145539906,1,1,0,0.020480855,0.012658228,0.012813249,69.2786814,4.314050934,74.74265407,0.671600832,0.556987812,0.083319058
SPFMV,182,0.85046729,3.93867509,0.016146566,0.025641026,0.98253818,0.249045752,0.150234742,1,1,0,0.083704363,0.012658228,0.013735283,59.81572997,3.854615753,47.21047296,0.61398502,0.351815953,0.134344592
SPLCV,182,0.85046729,3.874561334,0.015794293,0.051282051,0.9592723,0.143019465,0.150234742,1,1,0,0,0.012658228,0.011747997,75.00473298,4.501910617,90.18928399,0.656408669,0.672097246,0.085758461
SPVE,182,0.85046729,3.909256997,0.015984929,0.038461538,0.950436798,0.132499349,0.150234742,1,1,0,0.013802315,0.012658228,0.013113481,68.29000045,4.444019994,85.11642238,0.705941907,0.634293904,0.070675085
SPVCV,181,0.845794393,3.815004872,0.015552513,0.064102564,0.949899396,0.134931699,0.154929577,1,1,0,0,0.012658228,0.012135198,72.02067397,4.469275007,87.29341294,0.694190115,0.650517,0.075561446
CmV,180,0.841121495,3.667931996,0.014821844,0.08974359,0.970966148,0.158624317,0.159624413,1,1,0,0.004674978,0.012658228,0.012447004,71.29475895,4.437644826,84.57551691,0.691461881,0.630263037,0.076022798
SPSMV-1,180,0.841121495,3.881570767,0.016008726,0.076923077,0.959244831,0.147031276,0.159624413,1,1,0,0.031166518,0.012658228,0.012899176,67.25980536,4.426006332,83.59689117,0.725045053,0.622970245,0.062233128
SPCSV,179,0.836448598,3.914862913,0.01628415,0.102564103,0.951607078,0.140022045,0.164319249,1,1,0,0.007569012,0.012658228,0.012932605,67.81699013,4.42272065,83.32266909,0.683717075,0.620926722,0.079886516
SPYMV,179,0.836448598,3.85402882,0.015944295,0.115384615,0.948771058,0.136301387,0.164319249,1,1,0,0.00445236,0.012658228,0.012467563,71.12212234,4.48035704,88.26618165,0.670348305,0.657766145,0.09236554
SPVC,178,0.831775701,3.860274456,0.016068958,0.128205128,0.93374081,0.120747896,0.169014085,1,1,0,0.014247551,0.012658228,0.012229885,70.95233622,4.556394863,95.2395087,0.705015569,0.709731896,0.067067
SPCFV,177,0.827102804,3.873089876,0.016232146,0.153846154,0.903011565,0.114608523,0.17370892,1,1,0,0.033837934,0.012658228,0.01336928,66.4105955,4.515815436,91.45210897,0.704592769,0.681507912,0.072516417
SPVG,177,0.827102804,3.99865717,0.016941566,0.141025641,0.948757586,0.144568872,0.17370892,1,1,0,0.014247551,0.012658228,0.013448605,63.19215691,4.384040925,80.16130562,0.693336459,0.597368006,0.072511922
PVY,176,0.822429907,3.699935485,0.015340543,0.192307692,0.925319358,0.109757118,0.178403756,1,1,0,0.009795191,0.012658228,0.012228174,73.82856321,4.606074218,100.0904441,0.673482806,0.745881427,0.081652087
SPC6V,176,0.822429907,4.011935845,0.017113272,0.166666667,0.992097027,0.380921511,0.178403756,1,1,0,0.110863758,0.012658228,0.013930868,55.11497232,3.393498822,29.76992995,0.536832584,0.22184773,0.220218726
SPMMV,176,0.822429907,3.731620322,0.01552057,0.179487179,0.966704992,0.157682293,0.178403756,1,1,0,0.002671416,0.012658228,0.012228893,70.10401885,4.33041542,75.97584191,0.588356195,0.56617762,0.137652195
BCMV,174,0.813084112,3.993727004,0.017205328,0.205128205,0.986328638,0.265137179,0.187793427,1,1,0,0.021371327,0.012658228,0.012970449,61.55903305,3.960675374,52.49276625,0.587794483,0.391179995,0.149667141
