"MO-AS003" "MO-CS019" "MO-CS025" "MO-CS085" "ZW-S001" "ZW-S002" "ZW-S006" "ZW-S007" "ZW-S008" "ZW-S009" "ZW-S010" "ZW-S011" "ZW-S012" "ZW-S025" "ZW-S026" "ZW-S027" "ZW-S028" "ZW-S029" "ZW-S030" "ZW-S031" "ZW-S032" "ZW-S033" "ZW-S034" "ZW-S035" "ZW-S036" "ZW-S037" "ZW-S038" "ZW-S039" "ZW-S040" "ZW-S041" "ZW-S042" "ZW-S043" "ZW-S044" "ZW-S045" "ZW-S046" "ZW-S047" "ZW-S048" "ZW-S049" "ZW-S050" "ZW-S051" "ZW-S052" "ZW-S053" "ZW-S054" "ZW-S055" "ZW-S056" "ZW-S057" "ZW-S058" "ZW-S059" "ZW-S060" "ZW-S061" "ZW-S062" "ZW-S063" "ZW-S064" "ZW-S065" "ZW-S066" "ZW-S067" "ZW-S068" "ZW-S069" "ZW-S070" "ZW-S071" "ZW-S072" "ZW-S073" "ZW-S074" "ZW-S075" "ZW-S076" "ZW-S077" "ZW-S078" "ZW-S079" "ZW-S080" "ZW-S081" "ZW-S082" "ZW-S083" "ZW-S084" "ZW-S085" "ZW-S086" "ZW-S087" "ZW-S089" "ZW-S090" "ZW-S091" "ZW-S092" "ZW-S093" "ZW-S094" "ZW-S095" "ZW-S096" "ZW-S097" "ZW-S098" "ZW-S099" "ZW-S100" "ZW-S101" "ZW-S102" "ZW-S103" "ZW-S104" "ZW-S105" "ZW-S106" "ZW-S107" "ZW-S108" "ZW-S109" "ZW-S110" "ZW-S111" "ZW-S112" "ZW-S113" "ZW-S114" "ZW-S115" "ZW-S116" "ZW-S117" "ZW-S118" "ZW-S119" "ZW-S120" "ZW-S121" "ZW-S122" "ZW-S123" "ZW-S124" "ZW-S125" "ZW-S126" "ZW-S127" "ZW-S128" "ZW-S129" "ZW-S130" "ZW-S131" "ZW-S132" "ZW-S133" "ZW-S134" "ZW-S135" "ZW-S136" "ZW-S137" "ZW-S138" "ZW-S139" "ZW-S140" "ZW-S141" "ZW-S142" "ZW-S143" "ZW-S144" "ZW-S145" "ZW-S146" "ZW-S147" "ZW-S148" "ZW-S149" "ZW-S150"
"BBrMV" 4 0 0 0 0 0 9 3 0 1 5 0 1 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 2 0 0 0 0 2 2 0 0 0 0 0 0 12 9 1 0 0 1 7 0 0 0 0 2 0 0 2 1 0 0 2 1 2 7 0 1 2 1 0 0 0 0 0 1 3 0 1 2 2 0 2 0 0 0 0 0 0 0 0 2 0 0 3 1 0 47 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 3 0 0 0 2 1 1
"BBWV-1" 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 2 3 0 0 0 0 0 1 0 1 1 0 1 1 0 0 1 0 1 2 16 0 7 0 0 1 0 0 1 0 4 0 1 2 0 0 0 1 0 0 0 0 1 1 1 0 0 0 5 0 2 0 2 0 1 0 0 1 0 0 0 0 0 1 0 0 0 3 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 2 0 0 4 3 1 0 0 0 0 0 0 2 2 0 0 1 0 0 1 0 21 2 1 0 0 0 0 0 0 1 1 1 1 1
"BCMV" 1 0 0 3 1 3 0 2 3 2 15 1 7 4 6 4 1 7 7 0 1 0 2 6 0 2 7 5 1 4 1 2 5 2 10 1 0 2 1 4 1 1 2 18 0 0 1 4 1 1 2 0 11 1 3 35 2 3 2 1 0 1 4 1 0 0 5 6 2 3 0 1 2 0 1 1 5 18 3 26 1 4 1 1 1 10 1 0 10 4 1 3 2 0 4 1 4 0 2 1 2 2 2 2 0 0 0 4 1 0 1 1 2 2 1 1 3 1 0 1 0 4 1 0 5 17 1 1 1 2 0 1 0 1 7 0 1 5
"BgV" 0 0 0 1 2 14 6 2 1 3 5 2 4 3 8 2 1 7 3 1 3 1 1 2 1 1 6 4 0 3 6 1 1 1 4 2 1 1 2 12 4 1 1 10 0 0 1 1 11 2 2 0 5 4 16 13 12 10 1 0 1 0 3 3 2 3 1 0 1 0 1 0 2 1 1 0 0 1 4 3 0 7 1 1 2 6 5 1 9 5 1 1 1 3 4 1 4 3 23 2 2 2 2 2 0 1 1 1 1 1 4 1 1 0 0 2 2 0 0 1 0 2 2 0 3 1 2 2 1 1 1 1 1 1 3 0 0 0
"BSV" 0 1 0 1 1 14 1 1 1 1 2 1 1 9 9 3 1 2 0 0 2 1 0 2 1 1 3 2 0 0 0 0 1 1 3 3 1 4 2 2 5 2 1 6 0 1 1 1 7 4 2 0 12 1 54 24 3 5 1 0 1 2 3 1 0 3 1 1 1 0 2 1 2 0 1 0 2 2 2 5 0 4 1 1 3 12 2 0 55 7 0 7 1 3 15 4 87 0 2 0 1 3 1 2 0 1 1 0 0 1 1 0 2 0 0 1 2 1 1 1 1 1 3 1 14 2 2 1 2 19 1 1 0 0 3 0 0 1
"BYMV" 0 0 1 0 0 0 1 0 1 3 3 2 1 8 9 2 1 13 1 1 1 2 0 2 1 0 0 3 0 2 2 0 4 2 6 1 0 0 1 7 1 1 0 2 0 1 2 3 1 0 0 0 14 3 1 50 4 7 2 0 0 0 6 1 0 4 2 0 3 1 0 2 2 3 1 0 1 1 1 6 1 3 4 0 1 11 2 1 23 2 0 1 18 4 0 12 3 1 1 0 0 3 2 2 0 1 0 1 0 0 0 1 3 1 0 2 2 1 1 1 0 1 2 0 6 8 1 13 0 3 0 0 0 1 1 0 1 0
"CABMV" 0 0 0 0 0 0 1 0 0 2 2 4 18 0 0 0 0 8 3 0 0 0 0 0 0 1 0 0 0 3 0 0 0 1 4 1 1 0 0 0 1 2 0 3 4 2 1 1 6 2 0 1 0 6 2 0 11 0 2 0 2 0 1 1 1 3 3 0 0 0 1 0 1 5 1 2 0 5 1 1 0 4 1 0 1 0 3 0 0 1 0 0 0 0 0 1 4 0 2 2 2 0 3 3 0 1 1 1 1 0 0 7 2 0 1 0 1 2 1 4 3 0 2 3 14 1 3 0 3 2 0 1 0 0 2 0 1 3
"CarVY" 0 0 0 0 0 0 0 1 1 3 6 1 2 11 2 5 3 14 1 0 1 0 1 1 0 0 1 0 0 1 1 0 2 5 1 0 1 2 1 6 3 6 0 94 0 0 3 0 0 18 2 0 4 0 1 5 1 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 3 4 4 0 3 0 7 1 0 2 0 2 0 0 1 0 2 0 0 0 3 11 0 1 0 0 1 0 0 0 1 0 3 0 0 0 0 1 0 0 0 2 2 0 1 0 0 0 0 0 0 0 4 1 3 1 1 0 1 6 0 0 1
"CatMV" 1 0 0 0 0 0 0 0 0 0 2 2 16 9 0 0 0 5 1 0 2 0 0 1 0 1 0 0 0 4 6 1 0 0 19 0 0 2 0 4 7 0 1 0 2 0 4 13 9 0 0 1 14 0 0 0 0 3 0 0 1 0 1 2 2 0 2 0 1 0 2 1 0 3 0 0 2 6 1 4 1 0 0 1 1 4 0 0 14 3 0 2 0 0 0 0 1 0 5 0 0 4 0 1 1 1 4 0 0 0 1 0 1 0 0 0 2 0 0 1 0 0 3 0 0 3 0 7 2 2 0 1 0 0 0 0 0 2
"CaYMV" 0 0 0 0 0 1 0 1 0 4 2 1 6 5 1 0 1 3 0 0 8 1 0 0 0 1 0 1 0 0 0 3 2 2 0 0 0 0 0 0 10 2 0 4 0 0 1 0 0 2 0 1 0 0 5 10 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 2 1 0 1 1 0 6 5 4 1 0 1 0 1 1 0 56 0 0 0 1 0 0 0 1 3 1 1 1 0 0 0 5 0 8 103 0 0 0 4 0 3 0 0 0 1 0 0 0 0 0 1 0 0 0 4 1 0 0 0 0 0 0 3 0 1 5
