"ET1" "ET10" "ET102" "ET104" "ET105" "ET107" "ET108" "ET109" "ET11" "ET110" "ET111" "ET112" "ET113" "ET114" "ET115" "ET116" "ET117" "ET118" "ET119" "ET12" "ET120" "ET121" "ET126" "ET130" "ET131" "ET132" "ET133" "ET134" "ET135" "ET136" "ET137" "ET138" "ET14" "ET140" "ET142" "ET143" "ET145" "ET146" "ET149" "ET15" "ET152" "ET154" "ET155" "ET156" "ET157" "ET158" "ET159" "ET16" "ET160" "ET161" "ET163" "ET164" "ET167" "ET168" "ET169" "ET17" "ET170" "ET171" "ET173" "ET174" "ET175" "ET177" "ET178" "ET179" "ET18" "ET180" "ET181" "ET182" "ET183" "ET184" "ET185" "ET186" "ET187" "ET188" "ET189" "ET19" "ET190" "ET191" "ET192" "ET194" "ET195" "ET196" "ET197" "ET199" "ET20" "ET200" "ET201" "ET202" "ET203" "ET204" "ET205" "ET206" "ET207" "ET208" "ET209" "ET21" "ET210" "ET211" "ET212" "ET213" "ET214" "ET215" "ET216" "ET217" "ET218" "ET219" "ET22" "ET220" "ET221" "ET222" "ET224" "ET225" "ET226" "ET227" "ET228" "ET229" "ET23" "ET230" "ET232" "ET233" "ET234" "ET235" "ET236" "ET237" "ET238" "ET24" "ET240" "ET241" "ET242" "ET243" "ET248" "ET25" "ET252" "ET253" "ET254" "ET255" "ET256" "ET257" "ET260" "ET261" "ET3" "ET30" "ET32" "ET33" "ET34" "ET39" "ET4" "ET41" "ET45" "ET47" "ET48" "ET49" "ET53" "ET54" "ET55" "ET57" "ET58" "ET59" "ET6" "ET60" "ET61" "ET62" "ET64" "ET66" "ET68" "ET69" "ET70" "ET71" "ET72" "ET73" "ET74" "ET75" "ET77" "ET78" "ET79" "ET81" "ET82" "ET83" "ET84" "ET85" "ET86" "ET87" "ET88" "ET90" "ET94" "ET95" "ET96" "ET97" "ET99"
"BBrMV" 0 0 5 0 3 0 0 0 0 0 1 52 0 1 8 0 4 0 0 4 1 0 0 0 0 0 0 12 1 40 1 0 0 0 1 0 6 0 2 0 0 26 0 0 0 0 8 0 1 8 4 1 1 0 3 0 3 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 0 0 0 0 18 32 0 7 1 0 0 2 0 0 0 0 1 0 0 0 4 0 0 0 0 5 0 0 0 0 3 8 0 0 0 0 0 0 0 0 4 0 0 1 57 2 0 0 4 0 0 3 0 0 0 7 1 0 1 0 0 0 0 0 1 4 2 0 3 0 1 4 0 1 4 0 3 0 4 0 0 0 3 1 1 0 7 0 0 0 0 0 0 0 0 0 0 0 10 1 3 0 0 1 2 2 0 2 0 11 0
"BCMV" 1 0 6 0 0 2 0 0 1 1 0 2 1 1 1 0 1 3 0 4 1 2 5 0 0 10 1 2 0 8 0 0 2 0 0 1 5 0 2 0 1 0 19 1 41 0 6 1 2 1 0 3 3 1 5 0 7 0 0 10 1 0 4 0 1 21 0 4 1 5 0 20 1 12 1 0 6 1 24 8 35 5 1 12 0 1 1 2 0 5 2 1 59 3 0 5 2 5 10 1 9 1 9 1 1 33 9 3 4 0 21 8 2 30 23 2 1 17 2 15 3 3 1 7 6 3 0 27 0 3 8 0 17 8 0 1 0 4 0 0 0 0 0 2 4 1 2 1 2 0 1 0 3 0 6 0 1 5 0 3 5 1 1 0 2 0 0 2 3 0 1 6 2 4 2 2 2 3 0 25 2 2 1 1 2 0 2 8 1
"BgV" 0 0 3 3 1 2 0 0 1 0 1 0 1 0 1 0 1 6 1 11 3 2 2 0 246 3 0 0 0 8 6 0 3 0 0 0 1 1 0 0 1 4 6 1 25 0 3 0 1 1 0 6 0 1 3 0 8 3 0 11 0 0 1 0 2 20 4 0 6 1 0 29 0 9 4 1 2 0 74 1 9 4 1 23 5 2 1 0 0 2 0 4 11 0 0 10 0 0 11 0 10 4 3 1 0 36 1 0 4 0 14 37 3 71 0 3 0 4 3 6 20 1 5 1 2 2 2 0 2 2 4 0 29 5 0 2 0 2 5 0 0 0 0 1 1 7 0 3 1 5 0 0 2 2 3 13 2 1 0 4 1 1 1 0 2 2 0 2 1 0 0 1 0 1 8 4 19 1 0 0 11 1 2 1 1 0 5 3 0
"BSV" 1 0 1 0 4 2 2 0 2 7 1 2 1 0 2 0 3 1 2 6 0 5 30 0 11 6 1 1 0 2 0 3 2 3 0 2 24 1 1 1 1 3 12 4 6 0 11 0 5 2 0 1 3 1 4 0 1 0 1 9 4 0 16 3 2 8 0 9 6 2 2 8 3 30 0 2 12 2 12 4 0 5 1 3 0 14 2 4 0 36 5 3 9 5 0 17 1 21 2 4 96 0 58 5 2 4 5 11 4 0 7 1 20 42 79 3 1 64 7 9 8 2 5 3 13 1 1 87 0 10 24 0 4 6 1 1 0 20 0 2 1 2 0 7 15 4 1 1 1 7 0 3 2 3 15 0 4 7 0 1 4 2 1 0 1 0 3 1 10 0 2 14 11 4 2 1 13 3 2 11 10 3 0 3 11 0 0 5 1
"BYMV" 1 1 1 0 2 27 0 3 0 0 0 0 1 0 2 1 0 0 0 4 1 3 4 0 0 2 0 0 0 1 0 0 0 0 3 0 0 0 1 0 3 1 0 0 0 0 0 0 2 1 0 0 1 2 1 0 0 0 0 0 0 1 0 0 0 3 0 0 2 2 0 23 1 17 0 0 5 0 0 1 0 0 0 3 5 1 0 0 5 1 0 0 14 1 1 1 9 1 3 1 11 0 13 0 0 0 1 3 1 1 0 5 0 69 0 71 0 1 1 10 4 0 1 7 1 1 0 50 1 7 14 0 1 0 0 1 0 0 0 1 0 0 0 3 0 0 0 3 8 0 0 0 2 0 0 1 1 14 0 0 1 0 0 0 0 0 1 3 0 2 0 0 0 0 1 7 7 3 0 0 0 0 1 0 1 0 0 0 0
"CABMV" 0 0 1 0 0 1 1 0 0 3 1 0 0 0 1 0 0 0 2 7 2 0 0 1 0 2 0 1 8 3 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 3 7 0 1 4 1 1 0 0 19 0 1 1 0 0 2 0 0 0 4 0 0 0 2 0 0 0 0 11 0 15 7 0 0 3 0 0 7 2 0 6 4 4 0 0 1 3 0 1 0 3 0 0 10 0 0 0 0 5 3 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 2 3 1 0 0 2 0 0 1 0 1 0 0 0 4 1 3 1 0 0 3 0 0 4 13 1 0 1 0 0 0 5 9 28 1 15 14 0 2 1 0 2 0 0 1 2 0 0 0 0 0 0 0 1 0 3 0 0 0 0 3 2 0 19 0 0 9 0
"CatMV" 6 1 1 0 0 1 0 0 1 0 0 0 2 0 2 0 2 1 0 5 0 2 3 0 0 19 0 1 1 3 4 0 0 1 0 1 1 0 0 0 1 5 0 3 3 0 12 0 1 0 1 1 1 2 6 0 0 1 0 3 0 0 2 0 0 3 1 0 0 0 0 5 1 14 0 0 4 4 0 6 0 39 0 0 0 0 0 1 0 0 1 0 2 1 1 1 0 12 2 0 0 3 12 0 0 14 0 8 41 0 4 0 1 37 7 5 0 0 6 2 6 0 4 3 0 0 0 34 0 3 53 0 7 10 2 0 0 0 0 0 4 0 0 0 0 0 2 1 3 4 0 0 0 0 18 2 0 11 0 2 7 0 2 0 0 1 0 3 3 1 1 1 0 0 2 3 9 0 1 7 0 1 3 0 1 0 0 0 7
"CaYMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 3 0 0 3 1 0 2 0 23 1 13 2 1 0 0 0 0 82 3 37 0 0 10 3 16 2 0 0 1 4 2 2 1 3 0 7 0 0 9 0 0 0 1 6 3 4 0 0 6 6 2 9 1 1 0 0 0 25 0 8 3 0 0 0 40 2 11 1 0 1 3 14 1 70 0 3 0 0 10 2 1 4 0 111 8 0 0 1 0 7 0 62 0 1 3 0 0 1 4 0 20 2 0 2 0 2 0 0 3 0 1 1 1 0 2 0 1 10 0 1 2 0 1 0 0 27 0 3 0 0 21 0 0 18 2
"CeMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 58 0 0 1 0 4 0 2 5 3 0 1 0 0 0 18 0 1 6 0 0 0 0 3 0 0 6 21 0 1 0 0 24 14 9 0 5 0 0 0 0 0 0 0 4 24 4 24 0 1 5 0 3 0 4 0 48 0 0 11 0 4 0 0 0 0 0 0 0 0 1 1 4 1 0 0 0 0 26 6 9 1 1 19 0 14 19 3 1 0 0 0 0 0 2 0 0 1 0 2 2 0 1 1 0 0 0 0 0 0 44 0 2 9 0
"CHPV" 0 0 0 2 0 1 0 1 0 0 0 1 1 0 3 0 2 12 1 0 19 3 40 0 0 4 0 0 0 22 12 0 0 0 1 1 0 0 0 0 0 1 0 3 12 7 1 0 0 0 0 2 0 0 0 0 0 1 0 1 1 0 3 0 1 0 0 0 5 1 0 0 34 9 21 0 11 0 0 2 0 0 0 6 0 3 0 0 0 1 0 1 1 0 3 0 1 42 14 11 0 0 0 0 1 20 4 1 20 0 26 39 0 4 0 0 0 2 2 2 7 0 8 0 83 0 6 29 0 7 15 0 14 1 1 0 0 0 0 0 0 2 0 2 2 1 0 30 0 1 0 0 0 6 6 1 0 3 0 24 4 2 4 0 1 1 0 0 1 0 1 2 0 0 4 11 2 0 0 30 0 0 0 0 0 0 3 0 0
