"AO-S001" "AO-S002" "AO-S003" "AO-S006" "AO-S007" "AO-S008" "AO-S009" "AO-S010" "AO-S011" "AO-S012" "AO-S013" "AO-S014" "AO-S015" "AO-S016" "AO-S017" "AO-S019" "AO-S020" "AO-S021" "AO-S022" "AO-S023" "AO-S024" "AO-S026" "AO-S027" "AO-S031" "AO-S032" "AO-S033" "AO-S034" "AO-S035" "AO-S036" "AO-S037" "AO-S038" "AO-S039" "AO-S040" "AO-S041" "AO-S042" "AO-S043" "AO-S044" "AO-S045" "AO-S046" "AO-S047" "AO-S048" "AO-S051" "AO-S052" "AO-S053" "AO-S056" "AO-S057" "AO-S058" "AO-S060" "AO-S061" "AO-S062" "AO-S063" "AO-S064" "AO-S065" "AO-S066" "AO-S067" "AO-S068" "AO-S069" "AO-S070" "AO-S071" "AO-S072" "AO-S073" "AO-S075" "AO-S076" "AO-S077" "AO-S078" "AO-S079" "AO-S080" "AO-S081" "AO-S082" "AO-S083" "AO-S084" "AO-S085" "AO-S086" "AO-S087" "AO-S088" "AO-S089" "AO-S090" "AO-S091" "AO-S092" "AO-S093" "AO-S094" "AO-S095" "AO-S096" "AO-S097" "AO-S098" "AO-S099" "AO-S100" "AO-S101" "AO-S102" "AO-S103" "AO-S104" "AO-S105" "AO-S107" "AO-S109" "AO-S110" "AO-S111" "AO-S112" "AO-S113" "AO-S118" "AO-S119" "AO-S120" "AO-S121" "AO-S122" "AO-S124" "AO-S125" "AO-S126" "AO-S127" "AO-S128" "AO-S129" "AO-S130" "AO-S131" "AO-S132" "AO-S133" "AO-S134" "AO-S135" "AO-S136" "AO-S137" "AO-S138" "AO-S139" "AO-S140" "AO-S141" "AO-S142" "AO-S143" "AO-S144" "AO-S145" "AO-S148" "AO-S149" "AO-S150" "AO-S151" "AO-S152" "AO-S153" "AO-S154" "AO-S156" "AO-S157" "AO-S158" "AO-S159" "AO-S160" "AO-S161" "AO-S162" "AO-S163" "AO-S164" "AO-S165" "AO-S166" "AO-S167" "AO-S168" "AO-S172" "AO-S178" "AO-S186" "AO-S187"
"BBrMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 2 0 3 0 0 1 0 1 0 0 15 1 0 8 1 0 3 3 0 1 1 17 1 13 1 1 0 0 6 0 1 2 10 0 6 1 7 0 0 4 20 1 0 0 0 2 4 9 0 0 0 10 0 1 2 32 0 2 0 2 0 16 1 0 5 1 7 0 0 0 0 35 0 0 18 0 0 11 1 0 0 1 14 1 9 11 0 0 2 0 6 1 4 0 1 1 3 2 37 1 1 7 0 0 13 0 20 1 0 6 4 0 0 1 0 0 0 0 0 1 0 0 0 4
"BCMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 7 1 2 6 7 42 2 41 12 2 19 1 3 18 3 1 2 2 3 3 2 23 3 1 5 2 15 12 2 6 1 1 4 6 12 6 1 4 5 1 5 3 11 4 2 5 23 134 8 5 1 7 2 10 10
"BgV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 2 3 1 0 2 29 4 0 2 3 9 5 2 8 5 1 4 4 4 2 1 2 2 1 8 4 8 5 1 6 17 4 5 2 11 5 1 5 17 0 9 5 1 4 1 17 4
"BSV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 11 4 1 4 6 1 9 2 7 5 4 7 5 32 6 4 9 7 2 5 7 33 4 2 17 4 1 7 9 355 13 9 0 6 3 19 5
"BYMV" 94 4 2 9 4 0 17 0 23 0 0 8 1 1 8 12 3 0 0 0 0 2 0 1 0 8 3 32 0 1 1 0 0 2 0 1 0 1 3 1 21 0 2 31 9 1 11 0 0 3 0 0 13 0 7 2 3 2 7 8 1 1 0 4 13 2 6 17 0 1 0 2 0 2 1 0 2 2 0 0 7 0 4 11 0 0 0 0 0 0 0 0 1 1 0 0 0 23 6 8 0 3 10 2 8 1 1 4 2 1 0 1 0 3 6 2 12 8 6 0 16 9 2 0 0 54 1 0 6 1 0 4 3 18 5 1 11 4 1 0 2 0 28 2 2 2 2 6 0
"CABMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 3 0 0 2 0 1 0 7 0 37 1 1 5 0 2 2 1 71 0 0 5 2 2 5 2 5 1 3 1 2 1 4 23 0 5 1 0 4 17 0 2 13 2 0 2 3 2 7 1 1 4 0 17 3 7 1 5 28 6 2 5 0 7 3 3 0 7 20 13 3 11 0 1 7 1 55 9 0 10 14 1 10 5 3 4 1 0 6 2 6 0 0 14 0 4 3 0 11 1
"CatMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 2 1 8 3 0 6 0 10 3 0 3 2 18 3 0 2 0 1 10 2 2 1 0 0 0 8 0 2 3 51 1 12 3 25 11 0 1 2 0 15 3 46 5 0 6 12 0 3 0 8 2 5 5 2 2 0 5 0 7 0 2 4 0 0 2
"CHPV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 1 0 0 1 3 0 5 9 0 0 9 1 0 1 0 5 1 60 1 4 0 3 4 14 0 0 1 0 1 1 1 0 2 10 0 67 4 2 1 0 12 21 37 11 1 5 1 7 3 2 3 8 9 3 32 8 0 0 0 0 3 0 82 2 1 1 1 2 9 0 7 3 2 3 18 0 0 9 4 0 3 7 13
"CLNV" 0 0 0 0 0 0 0 0 0 0 0 30 3 0 3 1 27 3 1 4 2 1 6 0 2 2 0 0 1 0 1 0 0 0 0 77 3 0 5 0 0 0 1 1 2 1 0 8 8 0 1 0 0 2 0 4 5 4 0 2 1 0 4 1 8 3 1 0 2 1 1 1 0 11 3 3 0 3 3 2 0 0 6 0 4 20 15 0 11 2 2 0 1 2 4 2 1 0 0 62 2 0 0 1 3 4 2 8 2 2 4 0 3 1 0 2 1 0 0 1 12 11 0 10 1 14 3 0 0 4 0 3 100 5 4 1 0 11 1 4 15 0 6 0 1 0 2 1 2
"CmV" 47 0 2 11 4 0 6 5 20 1 1 1 1 3 7 16 9 5 3 38 3 2 21 1 1 2 2 50 0 3 15 0 1 2 1 9 3 2 2 1 3 3 1 26 8 1 3 1 12 8 1 5 4 3 4 1 4 3 1 2 3 1 5 1 11 3 6 7 5 13 5 2 5 6 3 4 4 18 2 2 9 3 2 36 3 19 18 2 10 10 2 16 2 10 5 3 4 21 4 13 1 47 7 2 25 1 3 12 2 11 5 4 27 3 1 4 3 7 7 2 6 5 2 4 2 8 6 5 10 3 3 7 1 11 4 2 7 1 1 6 9 361 7 5 5 4 1 11 4
"CMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 66 5 3 77 1 2 4 3 4 6 3 5 3 2 3 6 5 6 2 9 2 3 5 1 19 4 4 6 1 1 4 2 20 3 2 44 3 0 26 22 1159 5 8 6 5 1 6 2
"CoSMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 17 0 0 28 2 0 1 6 0 0 15 0 0 2 3 1
"CSSV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 8 2 9 3 0 17 3 6 0 2 10 8 0 0 0 81 4 4 4 3 1 7 4 0 2 0 2 9 2 0 0 17 4 0 2 26 0 1 3 14 0 1 0 4 1 102 0 14 0 4 11 9 0 0 1 0 1 2 1 0 3 5 0 11 5 2 2 0 16 12 14 8 1 5 1 1 3 1 4 13 5 2 75 11 0 0 0 0 2 0 135 2 0 1 1 6 6 0 9 1 1 3 23 0 0 15 24 1 1 10 13
