ID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
AO-S001,5,0.096153846,0.177114648,-0.16457707,0.97972973,0.986441385,0.921568627,0.656145086,0.08713695,1,0,0,0.006711409,0.006318356,0.981595022,1.037722357,2.822780401,0.069787577,0.149264767,0.486710342
AO-S002,4,0.076923077,0.009939082,-0.247515229,0.993243243,0.970588235,0.941176471,0.57189057,0.003512206,1,0,0,0.006711409,0.000410929,2.471004269,1.193549604,3.298769777,0.081555459,0.121194938,0.203110191
AO-S003,5,0.096153846,0.038444116,-0.192311177,0.986486486,0.995217599,0.921568627,0.806430758,0.024295176,1,0,0,0.006711409,0.002076464,1.373137707,0.756129255,2.130015496,0.052660356,0.156455396,0.385033411
AO-S006,9,0.173076923,0.034356089,-0.107293768,0.918918919,0.948306595,0.843137255,0.388814185,0.00616345,1,0,0,0.006711409,0.001568118,3.613431405,1.974248191,7.20120369,0.178035301,0.314840065,0.197742764
AO-S007,9,0.173076923,0.017830333,-0.109129963,0.932432432,0.941176471,0.843137255,0.385522309,0.00283923,1,0,0,0.006711409,0.000795146,6.295783817,1.969540333,7.167381122,0.177199106,0.279299946,0.147601293
AO-S008,6,0.115384615,0.022931985,-0.162844669,0.972972973,0.990512334,0.901960784,0.684127686,0.008577238,1,0,0,0.006711409,0.00188416,1.842211598,1.130040702,3.095782501,0.076537006,0.22644568,0.250332258
AO-S009,8,0.153846154,0.044435354,-0.119445581,0.945945946,0.965397924,0.862745098,0.429962335,0.010785245,1,0,0,0.006711409,0.001909112,2.769321968,1.82046763,6.174745272,0.152658178,0.279982166,0.242705985
AO-S010,9,0.173076923,0.045313339,-0.106076296,0.912162162,0.97254902,0.843137255,0.469041576,0.010777004,1,0,0,0.006711409,0.002313687,2.936453223,1.758595087,5.804277158,0.143499098,0.277105189,0.240326639
AO-S011,10,0.192307692,0.078256028,-0.092174397,0.891891892,0.95140665,0.823529412,0.399325412,0.01495777,1,0,0,0.006711409,0.002966506,3.016714177,1.990251948,7.317377132,0.180907456,0.339483079,0.246496167
AO-S012,9,0.173076923,0.011157411,-0.109871399,0.939189189,0.950980392,0.843137255,0.383221533,0.00175552,1,0,0,0.006711409,0.000564548,10.88279311,2.007556307,7.44510156,0.184065186,0.327061371,0.09709574
AO-S013,8,0.153846154,0.016635257,-0.122920593,0.959459459,0.97167756,0.862745098,0.478512523,0.004038595,1,0,0,0.006711409,0.000903162,4.522494439,1.688070813,5.409035593,0.133727544,0.278436477,0.178264857
AO-S014,11,0.211538462,0.069595806,-0.084582199,0.858108108,0.98627451,0.803921569,0.60540743,0.029775164,1,0,0,0.006711409,0.001954416,4.310498096,1.496205413,4.464715134,0.110381116,0.246994032,0.356867878
AO-S015,12,0.230769231,0.015534418,-0.082038799,0.831081081,0.91503268,0.784313725,0.289734496,0.001715264,1,0,0,0.006711409,0.000639573,21.81022069,2.393312123,10.9497007,0.270709363,0.394592365,0.075748851
AO-S016,9,0.173076923,0.72606857,-0.030436826,0.905405405,0.997307464,0.843137255,0.879199092,0.500963238,1,0,0.027709511,0.006711409,0.064712564,1.24318117,0.557227228,1.745825008,0.043162018,0.164337035,0.706409265
AO-S017,11,0.211538462,0.043151195,-0.086986255,0.864864865,0.912854031,0.803921569,0.335352518,0.005639342,1,0,0,0.006711409,0.001896268,4.410581155,2.175924198,8.810323841,0.217817566,0.32631652,0.182507638
AO-S019,12,0.230769231,0.126443827,-0.072796348,0.804054054,0.975277067,0.784313725,0.466490666,0.024433487,1,0,0,0.006711409,0.005314904,3.029891248,1.922634467,6.838951747,0.169079349,0.34555986,0.259844404
AO-S020,12,0.230769231,0.132514015,-0.072290499,0.810810811,0.935366739,0.784313725,0.34897773,0.022305446,1,0,0,0.006711409,0.004095162,3.361599879,2.198656298,9.012894715,0.222825724,0.361916759,0.250609647
AO-S021,9,0.173076923,0.022733299,-0.108585189,0.925675676,0.931372549,0.843137255,0.364477447,0.003327185,1,0,0,0.006711409,0.001099236,4.727362455,2.02547924,7.579742594,0.187393915,0.286463539,0.158228636
AO-S022,12,0.230769231,0.264112809,-0.061323933,0.797297297,0.969683258,0.784313725,0.461885508,0.061833401,1,0,0,0.006711409,0.01262058,2.440358893,1.812232723,6.12410561,0.151406214,0.285950412,0.337572682
AO-S023,13,0.25,0.067363836,-0.071741243,0.777027027,0.977296182,0.764705882,0.478619887,0.014946727,1,0,0,0.006711409,0.003134401,4.350588389,1.972668929,7.189840076,0.177754359,0.377427976,0.229885816
AO-S024,13,0.25,0.024957242,-0.075003289,0.790540541,0.843137255,0.764705882,0.250822365,0.001994274,1,0,0,0.006711409,0.001061817,9.856925287,2.538258446,12.65760786,0.312933937,0.424182282,0.09227698
AO-S026,11,0.211538462,0.258604932,-0.067399552,0.837837838,0.96874112,0.803921569,0.448966348,0.057449098,1,0,0.000491521,0.006711409,0.013386636,2.147515871,1.806839033,6.091163006,0.150591774,0.301032894,0.318529351
AO-S027,10,0.192307692,0.087505573,-0.091249443,0.885135135,0.930905696,0.823529412,0.353715046,0.011677566,1,0,0,0.006711409,0.003551036,2.819682899,2.088065936,8.069293532,0.199497079,0.271530219,0.232868056
AO-S031,12,0.230769231,0.076162102,-0.076986491,0.824324324,0.908496732,0.784313725,0.299602831,0.011178206,1,0,0,0.006711409,0.000578773,18.17079163,2.363921103,10.63256119,0.262868725,0.336448088,0.183865569
AO-S032,12,0.230769231,0.041928333,-0.079839306,0.817567568,0.943627451,0.784313725,0.339319051,0.007067562,1,0,0,0.006711409,0.001213876,7.182479076,2.246259041,9.452308911,0.233689357,0.334369884,0.194376601
AO-S033,15,0.288461538,0.056608785,-0.062892748,0.743243243,0.923202614,0.725490196,0.288448211,0.005121655,1,0,0,0.006711409,0.002182789,6.488220438,2.494246472,12.11260289,0.299459784,0.444641666,0.14610363
