"NI-S007" "NI-S008" "NI-S010" "NI-S029" "NI-S030" "NI-S033" "NI-S034" "NI-S035" "NI-S036"
"BBMV" 1 0 0 0 0 0 0 0 0
"BCMV" 0 0 2 0 2 8 2 0 6
"BgV" 1 0 1 0 3 0 3 0 1
"BSV" 4 5 4 2 9 0 19 1 9
"BYMV" 0 1 0 0 0 0 1 1 1
"CABMV" 0 0 0 0 0 0 0 1 0
"CamV" 0 8 10 0 23 81 3 2 29
"CatMV" 0 0 1 0 0 0 4 1 2
"CaYMV" 0 1 0 0 0 0 0 2 0
"CeMV" 3 0 0 0 0 0 0 0 0
"CHPV" 0 0 0 0 0 0 2 0 0
"CMV" 1 3 1 0 2 5 3 0 2
"CoSMV" 3 0 0 0 18 0 10 0 0
"CsCV" 0 0 0 0 12 0 7 1 2
"CSSV" 0 0 5 0 0 0 1 1 10
"CyLNV" 1 0 0 0 0 0 0 1 0
"DBRTV1" 1 0 0 4 0 1 0 1 0
"DBTRV1" 0 0 0 0 0 0 0 1 0
"FBaV-1" 2 0 1 0 79 3 20 3 3
"GLRaV-1" 0 0 0 0 3 0 0 0 1
"GLRaV-10" 4 0 0 1 0 0 0 0 0
"HBV" 0 0 2 0 0 0 0 1 0
"IYVV" 0 4 2 0 0 38 1 0 4
"LMV" 0 0 24 0 47 0 0 2 52
"LPV" 6 0 1 0 0 0 0 1 3
"MerMV" 0 0 0 0 0 1 3 1 3
"NoMV" 0 2 0 0 0 0 0 0 0
"PAV" 0 0 1 0 0 0 1 0 0
"PeMoV" 0 0 0 4 0 0 0 1 0
"PenMV" 0 0 0 0 0 0 0 2 0
"PPV" 0 0 0 0 0 0 0 1 0
"PRSV" 1 0 0 0 0 0 0 0 0
"PSbMV" 4 0 0 0 0 0 0 0 0
"PyV" 1 0 0 0 74 0 0 0 1
"PYV" 0 4 5 0 0 7 1 0 8
"SCBV" 1 0 1 0 0 0 0 0 3
"SCMV" 8 0 12 0 0 0 10 0 0
"SPBgV" 0 2 1 0 26 3 1 0 2
"SPC6V" 0 0 2 0 5 8 1 1 4
"SPCFV" 0 31 11 0 22 191 2 2 30
"SPCSV" 1 3 0 1 5 5 7 1 1
"SPCV" 0 7 0 0 11 3 2 1 1
"SPFMV" 2 40 1 1 65 16 9 6 3
"SPGVaV" 0 0 5 0 2 12 2 0 9
"SPLCV" 1 1 1 0 3 21 4 0 2
"SPLV" 3 0 0 0 18 0 10 0 0
"SPMMV" 0 1 1 0 0 4 1 1 1
"SPMV" 0 13 2 0 7 4 1 0 6
"SPPV" 0 19 11 0 23 187 3 2 27
"SPSMV-1" 1 4 0 1 6 6 7 1 1
"SPV2" 0 20 0 0 13 5 3 2 1
"SPVC" 2 35 1 1 61 20 9 7 3
"SPVCV" 0 0 3 0 3 24 2 0 7
"SPVE" 1 2 1 1 2 8 5 0 2
"SPVF" 0 0 5 1 0 0 0 1 0
"SPVG" 0 13 1 0 17 13 1 2 2
"SPYMV" 0 5 2 0 6 37 1 1 7
"ToBV-1" 0 11 7 1 26 58 2 2 14
"ToLCPaV" 1 0 0 0 0 3 5 1 1
"TuMV" 0 0 1 0 0 0 0 1 0
"WMV" 2 3 0 0 0 0 0 2 1
"YMV" 0 0 3 0 5 0 1 0 7
"ZTMV" 1 0 0 0 0 0 0 2 0
