"degree" "normalised.degree" "species.strength" "interaction.push.pull" "nestedrank" "PDI" "species.specificity.index" "resource.range" "PSI" "node.specialisation.index.NSI" "betweenness" "weighted.betweenness" "closeness" "weighted.closeness" "Fisher.alpha" "partner.diversity" "effective.partners" "proportional.similarity" "proportional.generality" "d"
"BBMV" 1 0.111111111111111 0.0175438596491228 -0.982456140350877 0.935483870967742 1 1 1 1 1.59677419354839 0 0 0.0123299319727891 0.000714309337284451 134217776.500017 0 1 0.0245901639344262 0.168604037371447 0.391929513835389
"BCMV" 5 0.555555555555556 0.0626822204691492 -0.18746355590617 0.403225806451613 0.8125 0.435889894354067 0.5 1 1.2258064516129 0.00193125455730114 0 0.0155895691609977 0.00828322494797816 2.13982577394465 1.41848366194566 4.13085192089075 0.680672993960311 0.696478311645778 0.0666565392296312
"BgV" 5 0.555555555555556 0.0514598690446718 -0.189708026191066 0.435483870967742 0.75 0.408248290463863 0.5 1 1.11290322580645 0.0232169351728268 0 0.0165816326530612 0.00483370075957394 4.63216578275261 1.46481638489081 4.32674871092222 0.523967021378583 0.72950730135319 0.134704092414167
"BSV" 8 0.888888888888889 0.408894534395479 -0.0738881832005651 0.0483870967741935 0.776315789473684 0.330592744678023 0.125 1 1 0.0444431524948502 0.0929559343840463 0.0175736961451247 0.0134135425063269 2.61759217849227 1.78126886056224 5.93738535511561 0.563001611669136 1.00106714230259 0.186670318541972
"BYMV" 4 0.444444444444444 0.0301539468246315 -0.242461513293842 0.596774193548387 0.625 0.395284707521047 0.625 1 1.08064516129032 0.0174733726164508 0 0.0168650793650794 0.00253299968163857 2147483650 1.38629436111989 4 0.319672131147541 0.674416149485788 0.157371518204506
"CABMV" 1 0.111111111111111 0.0163934426229508 -0.983606557377049 0.951612903225806 1 1 1 1 1.41935483870968 0 0 0.0138888888888889 0.000716348120602589 134217776.500017 0 1 0.0263157894736842 0.168604037371447 0.381729069567774
"CamV" 7 0.777777777777778 0.409806430518266 -0.0843133670688191 0.145161290322581 0.884259259259259 0.499815054552578 0.25 1 1.08064516129032 0.0174733726164508 0 0.0168650793650794 0.0167336559384365 1.50520518448095 1.39561342997422 4.03745050630861 0.738103139311077 0.680730456051023 0.0631399960708884
"CatMV" 4 0.444444444444444 0.0548515531398849 -0.236287111715029 0.532258064516129 0.875 0.511584548242028 0.625 1 1.09677419354839 0.0135006575361767 0 0.0167233560090703 0.00450238654314049 3.18361888163792 1.2130075659799 3.36358566101486 0.273943054357205 0.567114122491812 0.23851419928455
"CaYMV" 2 0.222222222222222 0.0369885659181705 -0.481505717040915 0.758064516129032 0.9375 0.707106781186548 0.875 1 1.29032258064516 0.00589959202915138 0 0.0150226757369615 0.00196728971931468 2.62230229845195 0.636514168294813 1.88988157484231 0.128990509059534 0.318641663672322 0.340010994172675
"CeMV" 1 0.111111111111111 0.0526315789473684 -0.947368421052632 0.870967741935484 1 1 1 1 1.59677419354839 0 0 0.0123299319727891 0.0020614470601992 0.5252543404995 0 1 0.0245901639344262 0.168604037371447 0.526322491114906
"CHPV" 1 0.111111111111111 0.0117647058823529 -0.988235294117647 0.887096774193548 1 1 1 1 1.38709677419355 0 0 0.014172335600907 0.0013755504924062 0.795904853480872 0 1 0.0733390854184642 0.168604037371447 0.318746313063466
"CMV" 7 0.777777777777778 0.0725458247848621 -0.132493453602163 0.225806451612903 0.7 0.285157638671549 0.25 1 1.08064516129032 0.0296963379060922 0 0.0168650793650794 0.00733115615536049 4.45120468233101 1.80901028426687 6.10440281798877 0.786656854286149 1.02922696085454 0.0265837682255881
"CoSMV" 3 0.333333333333333 0.141555442807294 -0.286148185730902 0.629032258064516 0.909722222222222 0.617975614860259 0.75 1 1.16129032258065 0.0202490986118019 0 0.016156462585034 0.0104385661927746 0.819997135822497 0.906620125837541 2.47594000976037 0.355910267471959 0.417453481935098 0.24867053387121
"CsCV" 4 0.444444444444444 0.0849897440197637 -0.228752563995059 0.467741935483871 0.895833333333333 0.578988145584409 0.625 1 1.09677419354839 0.0135006575361767 0 0.0167233560090703 0.00886756963805142 1.43065344035967 1.05347221690545 2.86759074887599 0.448544983920307 0.483487377789503 0.183363732738145
"CSSV" 4 0.444444444444444 0.0969192893252681 -0.225770177668683 0.483870967741935 0.9125 0.607764068228583 0.625 1 1.09677419354839 0.0135006575361767 0 0.0167233560090703 0.00772169286937568 1.64909827783131 1.00538743275557 2.73296590825038 0.259427498350505 0.460789086129538 0.291573615712474
"CyLNV" 2 0.222222222222222 0.0339373022720736 -0.483031348863963 0.806451612903226 0.875 0.661437827766148 0.875 1 1.19354838709677 0.0223088192159891 0 0.0158730158730159 0.00136145021384261 268435505.000009 0.693147180559945 2 0.0509059534081104 0.337208074742894 0.374822460904441
"DBRTV1" 4 0.444444444444444 0.257454861281861 -0.185636284679535 0.580645161290323 0.90625 0.557874976850475 0.625 1 1.08064516129032 0.0313816565546384 0 0.0168650793650794 0.00401242200988691 3.87837451962527 1.15374194270109 3.17003282492367 0.201528411191914 0.534480332882144 0.473283631839547
"DBTRV1" 1 0.111111111111111 0.0163934426229508 -0.983606557377049 0.967741935483871 1 1 1 1 1.41935483870968 0 0 0.0138888888888889 0.000716348120602589 134217776.500017 0 1 0.0263157894736842 0.168604037371447 0.381729069567774
"FBaV-1" 7 0.777777777777778 0.356513309105156 -0.0919266701278348 0.161290322580645 0.949367088607595 0.695913145382904 0.25 1 1.01612903225806 0.0390301081964692 0.15664200707623 0.0174319727891156 0.0167593978376925 1.65964687145793 0.95840559973479 2.60753570172242 0.438716974092298 0.43964104690059 0.24839203418999
"GLRaV-1" 2 0.222222222222222 0.00869319299626205 -0.495653403501869 0.741935483870968 0.958333333333333 0.760345316287277 0.875 1 1.33870967741935 0 0 0.0145975056689342 0.00256011047130177 1.59181590415142 0.562335144618808 1.75476535060332 0.375323554788611 0.295860522751243 0.109031505994705
"GLRaV-10" 2 0.222222222222222 0.125730994152047 -0.437134502923977 0.709677419354839 0.96875 0.8 0.875 1 1.54838709677419 0.00263624805039902 0 0.0127551020408163 0.0031875863599668 1.23549253245909 0.500402423538188 1.64938488846612 0.0323554788610871 0.278092951374841 0.539963795888799
"HBV" 2 0.222222222222222 0.031544957774466 -0.484227521112767 0.774193548387097 0.9375 0.707106781186548 0.875 1 1.17741935483871 0.00849121403333894 0 0.0160147392290249 0.00198626081394479 2.62230229845195 0.636514168294813 1.88988157484231 0.0832614322691976 0.318641663672322 0.330226802030638
"IYVV" 5 0.555555555555556 0.10176927106217 -0.179646145787566 0.338709677419355 0.963815789473684 0.754274229084748 0.5 1 1.19354838709677 0.00585333806658063 0 0.0158730158730159 0.0124287475221446 1.39352336558459 0.816209618117123 2.26191006562515 0.557535524995158 0.381367169235515 0.145075768035617
"LMV" 4 0.444444444444444 0.484376855378071 -0.128905786155482 0.451612903225806 0.824519230769231 0.520092299500771 0.625 1 1.11290322580645 0.0119116759755582 0.0929559343840463 0.0165816326530612 0.0176190775432725 0.788629328599439 1.11566416181368 3.05159425866335 0.448269197584124 0.514511112430168 0.305938380609547
"LPV" 4 0.444444444444444 0.140261769858151 -0.214934557535462 0.516129032258065 0.895833333333333 0.558554805792932 0.625 1 1.03225806451613 0.0365089018941021 0 0.0172902494331066 0.00600592661877643 2.2612632119324 1.12095039267358 3.06776840287102 0.225194132873167 0.51723813844461 0.379260292554446
"MerMV" 4 0.444444444444444 0.0463652499987509 -0.238408687500312 0.548387096774194 0.791666666666667 0.475985819116494 0.625 1 1.09677419354839 0.0135006575361767 0 0.0167233560090703 0.00447425204846756 3.18361888163792 1.25548232517875 3.50953070120665 0.341997411561691 0.591721045502485 0.180508599072641
"NoMV" 1 0.111111111111111 0.00840336134453781 -0.991596638655462 0.903225806451613 1 1 1 1 1.61290322580645 0 0 0.01218820861678 0.00135883977145122 0.795904853480872 0 1 0.10267471958585 0.168604037371447 0.267150331628932
"PAV" 2 0.222222222222222 0.013458110516934 -0.493270944741533 0.82258064516129 0.875 0.661437827766148 0.875 1 1.29032258064516 0.000795657415404457 0 0.0150226757369615 0.00137062685718859 268435505.000009 0.693147180559945 2 0.130284728213978 0.337208074742894 0.231854129561135
"PeMoV" 2 0.222222222222222 0.238615664845173 -0.380692167577414 0.725806451612903 0.96875 0.8 0.875 1 1.38709677419355 0.00307849851500645 0 0.014172335600907 0.00309197216324698 1.23549253245909 0.500402423538188 1.64938488846612 0.0340811044003451 0.278092951374841 0.655342651300349
"PenMV" 1 0.111111111111111 0.0327868852459016 -0.967213114754098 0.919354838709677 1 1 1 1 1.41935483870968 0 0 0.0138888888888889 0.00140879566655397 0.795904853480872 0 1 0.0263157894736842 0.168604037371447 0.475912294319415
"PPV" 1 0.111111111111111 0.0163934426229508 -0.983606557377049 0.983870967741935 1 1 1 1 1.41935483870968 0 0 0.0138888888888889 0.000716348120602589 134217776.500017 0 1 0.0263157894736842 0.168604037371447 0.381729069567774
"PRSV" 1 0.111111111111111 0.0175438596491228 -0.982456140350877 1 1 1 1 1 1.59677419354839 0 0 0.0123299319727891 0.000714309337284451 134217776.500017 0 1 0.0245901639344262 0.168604037371447 0.391929513835389
"PSbMV" 1 0.111111111111111 0.0701754385964912 -0.929824561403509 0.854838709677419 1 1 1 1 1.59677419354839 0 0 0.0123299319727891 0.00269731580910805 0.427959424154393 0 1 0.0245901639344262 0.168604037371447 0.559421968783825
"PyV" 3 0.333333333333333 0.144966149635351 -0.285011283454883 0.612903225806452 0.996621621621622 0.970545260404209 0.75 1 1.19354838709677 0.0174175953743536 0 0.0158730158730159 0.0153152355911703 0.623539602813963 0.139933117955955 1.150196868767 0.284296807592752 0.193927835846112 0.367161268468244
