"degree" "normalised.degree" "species.strength" "interaction.push.pull" "nestedrank" "PDI" "resource.range" "species.specificity.index" "PSI" "node.specialisation.index.NSI" "betweenness" "weighted.betweenness" "closeness" "weighted.closeness" "Fisher.alpha" "partner.diversity" "effective.partners" "proportional.generality" "proportional.similarity" "d"
"BE-S001" 33 0.6 3.7730396221455 0.0840315037013788 0 0.906695156695157 0.407407407407407 0.235907761244515 0.197402870900799 1 0 0.357954545454545 0.0526315789473684 0.0373645397343706 12.7457106512114 3.00100526916549 20.1057384464119 0.685917739569436 0.496749390838389 0.270923462610908
"BE-S003" 29 0.527272727272727 2.65866036222461 0.0571951849042969 0.166666666666667 0.943672839506173 0.481481481481481 0.279936932706753 0.273826517227046 1 0 0 0.0526315789473684 0.0216945608962819 14.0112077534025 2.84271745466851 17.1623401075909 0.585502172113526 0.503460262131522 0.324737934525829
"BE-S004" 24 0.436363636363636 1.75511030073225 0.0314629291971771 0.388888888888889 0.960547504025765 0.574074074074074 0.339239513684913 0.100814013141458 1 0 0 0.0526315789473684 0.0179789873236954 12.6062588278488 2.62258240733509 13.7712406584541 0.469813048085248 0.391263030018026 0.298364048323054
"BE-S005" 29 0.527272727272727 3.88583374695204 0.0995115085155877 0.222222222222222 0.824074074074074 0.481481481481481 0.165578317093948 0.147112639360283 1 0 0 0.0526315789473684 0.0135149186747844 20.8243476944274 3.22681382020062 25.1992396186897 0.859685185112158 0.42995233989826 0.298931483720684
"BE-S006" 18 0.327272727272727 2.98820139400365 0.110455633000203 0.777777777777778 0.953703703703704 0.685185185185185 0.410494100685779 0.509088788520597 1 0 0.0113636363636364 0.0526315789473684 0.104083675068772 3.67277741013328 2.04802032794782 7.75253842113906 0.264481886299575 0.367139642125366 0.544394468722836
"BE-S019" 21 0.381818181818182 3.1787325793879 0.103749170447043 0.555555555555556 0.96940813362382 0.62962962962963 0.428080729229079 0.459778936111743 1 0 0.167613636363636 0.0526315789473684 0.14265434727008 4.34584931494387 2.06881358818601 7.91542658925712 0.270038900998435 0.419747634919441 0.480171044456113
"BE-S020" 31 0.563636363636364 3.39265409987769 0.0771823903186352 0.0555555555555556 0.865740740740741 0.444444444444444 0.194170348204553 0.126883357128932 1 0 0 0.0526315789473684 0.023219936020989 15.5036193849591 3.14205712805656 23.1514433901834 0.789823550141642 0.41392766128247 0.300054337535377
"BE-S021" 22 0.4 3.61667672738522 0.118939851244783 0.5 0.911353976927747 0.611111111111111 0.276794791386972 0.307289220152637 1 0 0.113636363636364 0.0526315789473684 0.0946677779715603 5.19733940469503 2.63081158806474 13.8850342585857 0.473695176025378 0.43281096696283 0.386113113832622
"BE-S023" 20 0.363636363636364 3.36948336617947 0.118474168308973 0.666666666666667 0.947192353643967 0.648148148148148 0.332061453901101 0.373109488083084 1 0 0.130681818181818 0.0526315789473684 0.138698452677318 3.98776368148009 2.39390641137829 10.956209918724 0.37377680813512 0.516026326475232 0.373563888013954
"BE-S024" 23 0.418181818181818 2.93748303017289 0.0842383926162127 0.444444444444444 0.993676603432701 0.592592592592593 0.74536714626597 0.775997401377202 1 0 0.105113636363636 0.0526315789473684 0.0480934628555673 4.99285393202059 1.19575949839642 3.30606777038062 0.112788224017086 0.274914201977451 0.723867632970148
